Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.44,21,2865,21,20.44,20.85,50,20.44,21,2865,21,20.44,20.85,,
2023-03-02,20.78,20.89,1109,20.98,20.78,20.86,51,20.78,20.89,1109,20.98,20.78,20.86,,
2023-03-03,20.91,20.96,1139,20.99,20.91,20.94,47,20.91,20.96,1139,20.99,20.91,20.94,,
2023-03-06,21.01,21.21,2396,21.34,20.88,21.21,63,21.01,21.21,2396,21.34,20.88,21.21,,
2023-03-07,20.93,20.63,2964,20.93,20.5,20.65,68,20.93,20.63,2964,20.93,20.5,20.65,,
2023-03-08,20.74,21.16,3346,21.16,20.74,21.01,65,20.74,21.16,3346,21.16,20.74,21.01,,
2023-03-09,21.05,21.23,4798,21.57,21.05,21.45,65,21.05,21.23,4798,21.57,21.05,21.45,,
2023-03-10,21.26,21.06,581,21.26,21.03,21.1,41,21.26,21.06,581,21.26,21.03,21.1,,
2023-03-13,20.83,20.83,1707,20.83,20.54,20.77,45,20.83,20.83,1707,20.83,20.54,20.77,,
2023-03-14,20.83,20.99,2799,21.03,20.79,20.87,41,20.83,20.99,2799,21.03,20.79,20.87,,
2023-03-15,20.67,20.76,1090,20.76,20.66,20.71,47,20.67,20.76,1090,20.76,20.66,20.71,,
