Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3.03,3,15972147,3.05,2.97,3,18632,3.03,3,15972147,3.05,2.97,3,,
2023-03-02,2.81,2.84,35267342,2.84,2.7,2.791,33084,2.81,2.84,35267342,2.84,2.7,2.791,,
2023-03-03,2.97,3.03,15655953,3.05,2.95,3.007,16776,2.97,3.03,15655953,3.05,2.95,3.007,,
2023-03-06,2.99,3,12028090,3.01,2.962,2.99,11266,2.99,3,12028090,3.01,2.962,2.99,,
2023-03-07,2.96,2.89,14997557,2.98,2.89,2.92,18337,2.96,2.89,14997557,2.98,2.89,2.92,,
2023-03-08,2.89,2.9,20880594,2.93,2.88,2.895,14714,2.89,2.9,20880594,2.93,2.88,2.895,,
2023-03-09,2.84,2.77,21934528,2.88,2.75,2.819,20903,2.84,2.77,21934528,2.88,2.75,2.819,,
2023-03-10,2.761,2.661,37593977,2.771,2.611,2.684,37894,2.761,2.661,37593977,2.771,2.611,2.684,,
2023-03-13,2.441,2.541,46153259,2.591,2.381,2.49,42563,2.441,2.541,46153259,2.591,2.381,2.49,,
2023-03-14,2.561,2.511,39436078,2.591,2.461,2.511,40487,2.561,2.511,39436078,2.591,2.461,2.511,,
2023-03-15,1.761,2.161,434207008,2.231,1.751,2.018,398422,1.761,2.161,434207008,2.231,1.751,2.018,,
2023-03-16,2.301,2.161,226161837,2.321,2.111,2.233,202965,2.301,2.161,226161837,2.321,2.111,2.233,,
2023-03-17,2.051,2.011,138495000,2.101,1.941,2.021,120828,2.051,2.011,138495000,2.101,1.941,2.021,,
2023-03-20,0.9121,0.9454,375833699,1.081,0.8984,0.9524,347027,0.9121,0.9454,375833699,1.081,0.8984,0.9524,,
2023-03-21,0.9734,0.9686,210377592,0.9955,0.9375,0.9691,149013,0.9734,0.9686,210377592,0.9955,0.9375,0.9691,,
2023-03-22,0.9446,0.9155,100153580,0.9616,0.9095,0.9334,100589,0.9446,0.9155,100153580,0.9616,0.9095,0.9334,,
2023-03-23,0.9071,0.8723,82252726,0.9085,0.8614,0.887,65192,0.9071,0.8723,82252726,0.9085,0.8614,0.887,,
2023-03-24,0.8211,0.8616,63339921,0.8644,0.8211,0.843,49770,0.8211,0.8616,63339921,0.8644,0.8211,0.843,,
2023-03-27,0.8642,0.8639,44597306,0.8794,0.8506,0.8616,37625,0.8642,0.8639,44597306,0.8794,0.8506,0.8616,,
2023-03-28,0.8504,0.8535,51398465,0.8639,0.8432,0.8518,34007,0.8504,0.8535,51398465,0.8639,0.8432,0.8518,,
2023-03-29,0.8752,0.8777,32216817,0.8968,0.8704,0.8813,26323,0.8752,0.8777,32216817,0.8968,0.8704,0.8813,,
2023-03-30,0.8994,0.8711,19916942,0.9037,0.8711,0.8947,19161,0.8994,0.8711,19916942,0.9037,0.8711,0.8947,,
2023-03-31,0.8804,0.8902,22252547,0.9074,0.8804,0.891,19524,0.8804,0.8902,22252547,0.9074,0.8804,0.891,,
