Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.99,0.9562,102233,1,0.956,0.9692,204,0.99,0.9562,102233,1,0.956,0.9692,,
2023-03-02,0.95,0.98,53318,1,0.9489,0.9695,136,0.95,0.98,53318,1,0.9489,0.9695,,
2023-03-03,0.996,0.99,62486,1.08,0.98,0.9997,101,0.996,0.99,62486,1.08,0.98,0.9997,,
2023-03-06,1.03,0.9939,10954,1.03,0.9801,0.9997,44,1.03,0.9939,10954,1.03,0.9801,0.9997,,
2023-03-07,0.9939,0.99,6792,0.9939,0.99,0.9899,104,0.9939,0.99,6792,0.9939,0.99,0.9899,,
2023-03-08,0.9999,0.9619,15165,0.9999,0.9619,0.9732,89,0.9999,0.9619,15165,0.9999,0.9619,0.9732,,
2023-03-09,0.95,0.951,12700,0.9808,0.95,0.9555,94,0.95,0.951,12700,0.9808,0.95,0.9555,,
2023-03-10,0.9405,0.9514,57995,0.9516,0.9115,0.9362,176,0.9405,0.9514,57995,0.9516,0.9115,0.9362,,
2023-03-13,0.9405,0.9505,44993,0.9904,0.934,0.9418,59,0.9405,0.9505,44993,0.9904,0.934,0.9418,,
2023-03-14,0.9186,0.9705,18095,0.9905,0.9186,0.9417,156,0.9186,0.9705,18095,0.9905,0.9186,0.9417,,
2023-03-15,0.9705,0.9145,16025,0.9705,0.9105,0.9543,51,0.9705,0.9145,16025,0.9705,0.9105,0.9543,,
2023-03-16,0.9605,0.9899,9868,1,0.9605,0.9812,52,0.9605,0.9899,9868,1,0.9605,0.9812,,
2023-03-17,1,0.9605,135354,1.051,0.9605,0.9999,144,1,0.9605,135354,1.051,0.9605,0.9999,,
2023-03-20,0.9605,0.9625,6833,1.051,0.9605,0.9774,64,0.9605,0.9625,6833,1.051,0.9605,0.9774,,
2023-03-21,0.9833,0.9805,13919,1.016,0.9625,0.9846,56,0.9833,0.9805,13919,1.016,0.9625,0.9846,,
2023-03-22,0.9805,0.9805,5182,1.031,0.9805,1.01,33,0.9805,0.9805,5182,1.031,0.9805,1.01,,
2023-03-23,1.002,0.9905,5390,1.011,0.9905,0.999,68,1.002,0.9905,5390,1.011,0.9905,0.999,,
2023-03-24,0.9629,0.9605,2736,0.9835,0.9605,0.9671,25,0.9629,0.9605,2736,0.9835,0.9605,0.9671,,
2023-03-27,1.041,1,15712,1.041,0.9625,0.9905,138,1.041,1,15712,1.041,0.9625,0.9905,,
2023-03-28,1.021,1,8738,1.021,0.9705,0.993,40,1.021,1,8738,1.021,0.9705,0.993,,
2023-03-29,1.011,1.021,2432,1.051,1.011,1.027,31,1.011,1.021,2432,1.051,1.011,1.027,,
2023-03-30,1.03,1.06,16944,1.08,1.02,1.047,84,1.03,1.06,16944,1.08,1.02,1.047,,
2023-03-31,1.03,1.05,8854,1.092,1.03,1.056,141,1.03,1.05,8854,1.092,1.03,1.056,,
