Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.4849,0.4886,12391,0.5096,0.4849,0.493,73,0.4849,0.4886,12391,0.5096,0.4849,0.493,,
2023-03-02,0.4801,0.481,6505,0.4995,0.4801,0.487,34,0.4801,0.481,6505,0.4995,0.4801,0.487,,
2023-03-03,0.4711,0.46,153777,0.5096,0.4505,0.4716,691,0.4711,0.46,153777,0.5096,0.4505,0.4716,,
2023-03-06,0.46,0.4999,184193,0.5325,0.4512,0.4942,280,0.46,0.4999,184193,0.5325,0.4512,0.4942,,
2023-03-07,0.4949,0.4658,53837,0.4949,0.4612,0.4682,183,0.4949,0.4658,53837,0.4949,0.4612,0.4682,,
2023-03-08,0.4511,0.4106,316737,0.4526,0.41,0.4276,568,0.4511,0.4106,316737,0.4526,0.41,0.4276,,
2023-03-09,0.41,0.4,152068,0.42,0.4,0.4074,300,0.41,0.4,152068,0.42,0.4,0.4074,,
2023-03-10,0.3902,0.4003,165688,0.4018,0.3712,0.3932,260,0.3902,0.4003,165688,0.4018,0.3712,0.3932,,
2023-03-13,0.4002,0.4002,56685,0.4102,0.4002,0.4027,85,0.4002,0.4002,56685,0.4102,0.4002,0.4027,,
2023-03-14,0.4002,0.4247,7987,0.4247,0.4002,0.4071,49,0.4002,0.4247,7987,0.4247,0.4002,0.4071,,
2023-03-15,0.4302,0.4402,128092,0.4523,0.4302,0.4398,137,0.4302,0.4402,128092,0.4523,0.4302,0.4398,,
2023-03-16,0.4501,0.4703,122226,0.4742,0.4402,0.4612,153,0.4501,0.4703,122226,0.4742,0.4402,0.4612,,
2023-03-17,0.4902,0.455,141644,0.4902,0.455,0.471,205,0.4902,0.455,141644,0.4902,0.455,0.471,,
2023-03-20,0.4414,0.4202,14322,0.4414,0.4152,0.4243,57,0.4414,0.4202,14322,0.4414,0.4152,0.4243,,
2023-03-21,0.4002,0.3996,33473,0.4283,0.3902,0.4043,95,0.4002,0.3996,33473,0.4283,0.3902,0.4043,,
2023-03-22,0.3816,0.3923,15062,0.4137,0.3816,0.3982,64,0.3816,0.3923,15062,0.4137,0.3816,0.3982,,
2023-03-23,0.3902,0.4002,48616,0.4002,0.3802,0.3901,84,0.3902,0.4002,48616,0.4002,0.3802,0.3901,,
2023-03-24,0.4002,0.3902,4975,0.4003,0.3902,0.3969,29,0.4002,0.3902,4975,0.4003,0.3902,0.3969,,
2023-03-27,0.3713,0.3753,39170,0.3927,0.3713,0.3788,52,0.3713,0.3753,39170,0.3927,0.3713,0.3788,,
2023-03-28,0.3762,0.3802,26138,0.3821,0.3762,0.3805,63,0.3762,0.3802,26138,0.3821,0.3762,0.3805,,
2023-03-29,0.3803,0.3902,12762,0.4001,0.3803,0.3876,63,0.3803,0.3902,12762,0.4001,0.3803,0.3876,,
2023-03-30,0.3803,0.3731,11771,0.3804,0.3731,0.3788,62,0.3803,0.3731,11771,0.3804,0.3731,0.3788,,
2023-03-31,0.42,0.3903,13730,0.42,0.3803,0.3893,45,0.42,0.3903,13730,0.42,0.3803,0.3893,,
