Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,14.23,14.4,250668,14.54,14.15,14.37,6315,12.98,13.13,250668,13.26,12.91,13.11,,
2023-03-02,12.24,12.37,1099345,13.2,11.51,12.38,17213,11.16,11.28,1099345,12.04,10.5,11.29,,
2023-03-03,12.36,12.78,854792,12.93,12.36,12.71,11563,11.27,11.66,854792,11.79,11.27,11.59,,
2023-03-06,12.79,12,575452,12.85,11.96,12.2,7571,11.67,10.94,575452,11.72,10.91,11.13,,
2023-03-07,11.99,12.26,274162,12.31,11.77,12.13,4787,10.94,11.18,274162,11.23,10.74,11.06,,
2023-03-08,12.28,12.16,259492,12.28,11.87,12.07,3741,11.2,11.09,259492,11.2,10.83,11.01,,
2023-03-09,12.06,11.51,285208,12.15,11.49,11.66,4710,11,10.5,285208,11.08,10.48,10.63,,
2023-03-10,11.48,11.17,260182,11.48,10.95,11.16,4730,10.47,10.19,260182,10.47,9.987,10.18,,
2023-03-13,10.86,10.47,331921,10.89,10.31,10.5,5151,9.905,9.549,331921,9.932,9.403,9.577,,
2023-03-14,10.84,10.51,296939,10.88,10.41,10.58,4075,9.887,9.586,296939,9.923,9.495,9.65,,
2023-03-15,10.26,10.21,323872,10.35,9.965,10.14,5365,9.471,9.424,323872,9.554,9.198,9.36,0.125,
2023-03-16,10,10.06,327589,10.35,9.785,10.09,6422,9.231,9.286,327589,9.554,9.032,9.314,,
2023-03-17,9.885,9.465,658025,9.945,9.395,9.523,4834,9.124,8.737,658025,9.18,8.672,8.79,,
2023-03-20,9.525,9.385,437137,9.705,9.265,9.431,5908,8.792,8.663,437137,8.958,8.552,8.705,,
2023-03-21,9.655,9.295,661795,9.765,9.225,9.364,7013,8.912,8.58,661795,9.014,8.515,8.644,,
2023-03-22,9.335,9.005,523349,9.595,8.994,9.25,7444,8.617,8.312,523349,8.857,8.302,8.538,,
2023-03-23,9.105,9.145,439392,9.315,8.974,9.106,5569,8.404,8.441,439392,8.598,8.284,8.405,,
2023-03-24,9.025,9.215,440213,9.255,8.924,9.135,5404,8.331,8.506,440213,8.543,8.237,8.432,,
2023-03-27,9.365,9.265,263362,9.405,9.2,9.305,4048,8.644,8.552,263362,8.681,8.492,8.589,,
2023-03-28,9.225,9.225,279040,9.435,9.18,9.268,3351,8.515,8.515,279040,8.709,8.474,8.555,,
2023-03-29,9.005,9.035,724242,9.195,8.964,9.051,5709,8.312,8.34,724242,8.488,8.274,8.355,,
2023-03-30,9.184,9.124,624171,9.384,9.004,9.123,5549,8.477,8.422,624171,8.662,8.311,8.421,,
2023-03-31,9.214,9.664,497091,9.709,9.199,9.562,5446,8.505,8.92,497091,8.962,8.491,8.826,,
