Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.4,10.41,16405,10.42,10.4,10.41,13,10.4,10.41,16405,10.42,10.4,10.41,,
2023-03-02,10.4,10.4,57897,10.4,10.4,10.4,7,10.4,10.4,57897,10.4,10.4,10.4,,
2023-03-03,10.4,10.4,12725,10.42,10.4,10.4,50,10.4,10.4,12725,10.42,10.4,10.4,,
2023-03-06,10.4,10.4,5350,10.4,10.4,10.4,3,10.4,10.4,5350,10.4,10.4,10.4,,
2023-03-07,10.4,10.4,5148,10.4,10.4,10.4,4,10.4,10.4,5148,10.4,10.4,10.4,,
2023-03-09,10.4,10.43,11221,10.43,10.4,10.41,19,10.4,10.43,11221,10.43,10.4,10.41,,
2023-03-16,10.48,10.48,670,10.48,10.48,10.48,6,10.48,10.48,670,10.48,10.48,10.48,,
2023-03-20,10.42,10.49,6781,10.49,10.42,10.47,49,10.42,10.49,6781,10.49,10.42,10.47,,
2023-03-21,10.42,10.42,163,10.42,10.42,10.42,2,10.42,10.42,163,10.42,10.42,10.42,,
2023-03-27,10.51,10.51,1649,10.51,10.51,10.51,55,10.51,10.51,1649,10.51,10.51,10.51,,
2023-03-30,10.44,10.46,2664,10.47,10.44,10.45,16,10.44,10.46,2664,10.47,10.44,10.45,,
2023-03-31,10.44,10.44,2036,10.44,10.44,10.44,3,10.44,10.44,2036,10.44,10.44,10.44,,
