Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.25,1.24,28939,1.295,1.23,1.255,191,1.25,1.24,28939,1.295,1.23,1.255,,
2023-03-02,1.3,1.21,27574,1.3,1.2,1.265,128,1.3,1.21,27574,1.3,1.2,1.265,,
2023-03-03,1.22,1.04,57564,1.22,1,1.043,305,1.22,1.04,57564,1.22,1,1.043,,
2023-03-06,0.97,0.9863,46600,1.18,0.97,1.034,302,0.97,0.9863,46600,1.18,0.97,1.034,,
2023-03-07,1.07,0.95,50126,1.07,0.9,0.9725,385,1.07,0.95,50126,1.07,0.9,0.9725,,
2023-03-08,0.9299,0.9451,27807,0.9776,0.9299,0.9506,170,0.9299,0.9451,27807,0.9776,0.9299,0.9506,,
2023-03-09,0.8899,0.8427,82712,0.9423,0.8334,0.9054,484,0.8899,0.8427,82712,0.9423,0.8334,0.9054,,
2023-03-10,0.7826,0.7929,58334,0.8604,0.7826,0.8042,363,0.7826,0.7929,58334,0.8604,0.7826,0.8042,,
2023-03-13,0.8004,0.8304,27266,0.8694,0.7905,0.8254,282,0.8004,0.8304,27266,0.8694,0.7905,0.8254,,
2023-03-14,0.8504,0.946,48490,1.071,0.8504,0.9545,364,0.8504,0.946,48490,1.071,0.8504,0.9545,,
2023-03-15,0.946,0.858,38706,0.9805,0.8504,0.8765,291,0.946,0.858,38706,0.9805,0.8504,0.8765,,
2023-03-16,0.8104,0.8564,29486,0.8604,0.7904,0.8383,252,0.8104,0.8564,29486,0.8604,0.7904,0.8383,,
2023-03-17,0.8604,0.8604,27607,0.9148,0.8504,0.8803,262,0.8604,0.8604,27607,0.9148,0.8504,0.8803,,
2023-03-20,0.8188,0.8207,43128,0.8604,0.7704,0.8137,220,0.8188,0.8207,43128,0.8604,0.7704,0.8137,,
2023-03-21,0.8404,0.8249,6604,0.8504,0.8093,0.8301,85,0.8404,0.8249,6604,0.8504,0.8093,0.8301,,
2023-03-22,0.8004,0.8231,15317,0.8504,0.7524,0.8158,101,0.8004,0.8231,15317,0.8504,0.7524,0.8158,,
2023-03-23,0.8004,0.8004,22427,0.8204,0.7974,0.8085,77,0.8004,0.8004,22427,0.8204,0.7974,0.8085,,
2023-03-24,0.8104,0.7804,61625,0.8104,0.7754,0.7954,91,0.8104,0.7804,61625,0.8104,0.7754,0.7954,,
2023-03-27,0.7804,0.7584,27838,0.8004,0.7304,0.7609,285,0.7804,0.7584,27838,0.8004,0.7304,0.7609,,
2023-03-28,0.7544,0.7404,39506,0.7704,0.7304,0.7447,340,0.7544,0.7404,39506,0.7704,0.7304,0.7447,,
2023-03-29,0.7404,0.6997,67995,0.7919,0.6874,0.7355,160,0.7404,0.6997,67995,0.7919,0.6874,0.7355,,
2023-03-30,0.6803,0.6996,11232,0.7303,0.6803,0.7014,78,0.6803,0.6996,11232,0.7303,0.6803,0.7014,,
2023-03-31,0.7003,0.6803,66568,0.7003,0.6503,0.6738,303,0.7003,0.6803,66568,0.7003,0.6503,0.6738,,
