Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,6.79,6.26,176382,6.79,6.24,6.368,2570,6.79,6.26,176382,6.79,6.24,6.368,,
2023-03-02,6.15,6.05,192861,6.24,5.94,6.042,2366,6.15,6.05,192861,6.24,5.94,6.042,,
2023-03-03,6.19,6.12,139723,6.28,6,6.177,2103,6.19,6.12,139723,6.28,6,6.177,,
2023-03-06,6.15,6.02,170308,6.26,5.98,6.075,2608,6.15,6.02,170308,6.26,5.98,6.075,,
2023-03-07,5.99,5.89,159420,6.14,5.86,5.931,2403,5.99,5.89,159420,6.14,5.86,5.931,,
2023-03-08,5.889,5.309,347988,5.974,5.114,5.313,3934,5.889,5.309,347988,5.974,5.114,5.313,,
2023-03-09,5.299,4.87,441914,5.333,4.86,5.057,4313,5.299,4.87,441914,5.333,4.86,5.057,,
2023-03-10,4.852,4.872,558750,4.932,4.502,4.801,6819,4.852,4.872,558750,4.932,4.502,4.801,,
2023-03-13,4.802,4.702,476901,5.033,4.662,4.846,3636,4.802,4.702,476901,5.033,4.662,4.846,,
2023-03-14,4.872,4.982,371659,5.293,4.702,4.966,3888,4.872,4.982,371659,5.293,4.702,4.966,,
2023-03-15,4.812,5.033,169688,5.133,4.672,4.911,2076,4.812,5.033,169688,5.133,4.672,4.911,,
2023-03-16,4.962,4.802,193699,4.992,4.692,4.825,2730,4.962,4.802,193699,4.992,4.692,4.825,,
2023-03-17,4.762,4.552,336784,4.762,4.482,4.587,2330,4.762,4.552,336784,4.762,4.482,4.587,,
2023-03-20,4.092,4.552,515408,4.582,3.928,4.23,3888,4.092,4.552,515408,4.582,3.928,4.23,,
2023-03-21,4.642,4.882,93595,4.952,4.642,4.841,2017,4.642,4.882,93595,4.952,4.642,4.841,,
2023-03-22,4.862,4.157,226415,4.862,4.156,4.411,3299,4.862,4.157,226415,4.862,4.156,4.411,,
2023-03-23,4.202,4.152,287781,4.212,3.972,4.098,4757,4.202,4.152,287781,4.212,3.972,4.098,,
2023-03-24,4.072,4.082,410973,4.162,3.822,4.021,5212,4.072,4.082,410973,4.162,3.822,4.021,,
2023-03-27,4.122,4.212,319229,4.292,4.107,4.196,4000,4.122,4.212,319229,4.292,4.107,4.196,,
2023-03-28,4.202,4.012,362433,4.372,3.972,4.087,4312,4.202,4.012,362433,4.372,3.972,4.087,,
2023-03-29,4.102,4.232,664577,4.642,4.062,4.287,5629,4.102,4.232,664577,4.642,4.062,4.287,,
2023-03-30,4.242,3.992,215720,4.396,3.832,4.013,2703,4.242,3.992,215720,4.396,3.832,4.013,,
2023-03-31,4.032,3.942,442485,4.302,3.882,4.022,2988,4.032,3.942,442485,4.302,3.882,4.022,,
