Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.6,2.26,28996,2.69,2.25,2.43,450,8398,7299.8,9,8688.7,7267.5,7848.9,,
2023-03-02,2.28,2.385,6061,2.49,2.23,2.351,101,7364.4,7703.55,2,8042.7,7202.9,7593.73,,
2023-03-03,2.465,2.41,10718,2.519,2.41,2.471,87,7961.95,7784.3,3,8136.37,7784.3,7981.33,,
2023-03-06,2.78,2.96,199609,3.2,2.58,2.867,1611,8979.4,9560.8,62,10336,8333.4,9260.41,,
2023-03-07,3.5,3.33,167817,3.5,3.1,3.302,1570,11305,10755.9,52,11305,10013,10665.46,,
2023-03-08,3.31,3.64,702587,4.02,3.31,4.28,4609,10691.3,11757.2,218,12984.6,10691.3,13824.4,,
2023-03-09,4.39,4.13,2621059,4.54,3.72,4.376,19991,14179.7,13339.9,811,14664.2,12015.6,14134.48,,
2023-03-10,3.582,2.681,645476,3.662,2.511,2.878,4291,11569.86,8659.63,200,11828.26,8110.53,9295.94,,
2023-03-13,2.571,2.561,171558,2.611,2.301,2.508,1122,8304.33,8272.03,53,8433.53,7432.23,8100.84,,
2023-03-14,2.561,2.356,92080,2.561,2.281,2.391,712,8272.03,7609.88,29,8272.03,7367.63,7722.93,,
2023-03-15,2.341,2.281,70886,2.451,2.251,2.325,475,7561.43,7367.63,22,7916.73,7270.73,7509.75,,
2023-03-16,2.301,2.471,50755,2.471,2.251,2.374,338,7432.23,7981.33,16,7981.33,7270.73,7668.02,,
2023-03-17,2.471,2.251,58581,2.471,2.241,2.325,408,7981.33,7270.73,18,7981.33,7238.43,7509.75,,
2023-03-20,2.281,2.301,42914,2.384,2.251,2.286,277,7367.63,7432.23,13,7700.32,7270.73,7383.78,,
2023-03-21,2.286,2.381,59378,2.391,2.251,2.32,292,7383.78,7690.63,18,7722.93,7270.73,7493.6,,
2023-03-22,2.311,2.291,31518,2.371,2.281,2.312,176,7464.53,7399.93,10,7658.33,7367.63,7467.76,,
2023-03-23,2.341,2.201,51971,2.351,2.181,2.255,303,7561.43,7109.23,16,7593.73,7044.63,7283.65,,
2023-03-24,2.271,2.281,19802,2.295,2.201,2.256,134,7335.33,7367.63,6,7412.85,7109.23,7286.88,,
2023-03-27,2.261,2.271,11377,2.281,2.222,2.249,122,7303.03,7335.33,4,7367.63,7177.06,7264.27,,
2023-03-28,2.221,2.241,16779,2.281,2.221,2.238,198,7173.83,7238.43,5,7367.63,7173.83,7228.74,,
2023-03-29,2.281,2.241,27003,2.281,2.151,2.221,184,7367.63,7238.43,8,7367.63,6947.73,7173.83,,
2023-03-30,2.251,2.241,14465,2.251,2.151,2.201,156,7270.73,7238.43,4,7270.73,6947.73,7109.23,,
2023-03-31,2.261,2.231,24187,2.351,2.151,2.298,95,7303.03,7206.13,7,7593.73,6947.73,7422.54,,
