Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.4,10.4,76556,10.41,10.4,10.4,107,10.4,10.4,76556,10.41,10.4,10.4,,
2023-03-02,10.4,10.4,80898,10.41,10.4,10.4,83,10.4,10.4,80898,10.41,10.4,10.4,,
2023-03-03,10.4,10.4,11156,10.41,10.4,10.4,24,10.4,10.4,11156,10.41,10.4,10.4,,
2023-03-06,10.4,10.41,50620,10.41,10.4,10.4,13,10.4,10.41,50620,10.41,10.4,10.4,,
2023-03-07,10.4,10.41,472951,10.42,10.4,10.41,83,10.4,10.41,472951,10.42,10.4,10.41,,
2023-03-08,10.42,10.41,5402,10.42,10.41,10.41,3,10.42,10.41,5402,10.42,10.41,10.41,,
2023-03-09,10.41,10.42,1236271,10.44,10.41,10.42,116,10.41,10.42,1236271,10.44,10.41,10.42,,
2023-03-10,10.43,10.43,30891,10.43,10.43,10.43,95,10.43,10.43,30891,10.43,10.43,10.43,,
2023-03-13,10.46,10.42,330,10.46,10.42,10.43,4,10.46,10.42,330,10.46,10.42,10.43,,
2023-03-14,10.42,10.42,178675,10.44,10.42,10.43,231,10.42,10.42,178675,10.44,10.42,10.43,,
2023-03-15,10.42,10.42,32581,10.42,10.42,10.42,8,10.42,10.42,32581,10.42,10.42,10.42,,
2023-03-16,10.42,10.43,64232,10.43,10.42,10.43,76,10.42,10.43,64232,10.43,10.42,10.43,,
2023-03-17,10.43,10.43,62917,10.43,10.43,10.43,37,10.43,10.43,62917,10.43,10.43,10.43,,
2023-03-20,10.46,10.44,1211,10.46,10.44,10.46,13,10.46,10.44,1211,10.46,10.44,10.46,,
2023-03-21,10.44,10.45,675638,10.45,10.44,10.44,353,10.44,10.45,675638,10.45,10.44,10.44,,
2023-03-22,10.44,10.44,51368,10.44,10.44,10.44,7,10.44,10.44,51368,10.44,10.44,10.44,,
2023-03-23,10.45,10.45,25415,10.45,10.44,10.45,27,10.45,10.45,25415,10.45,10.44,10.45,,
2023-03-24,10.44,10.44,100,10.44,10.44,10.44,1,10.44,10.44,100,10.44,10.44,10.44,,
2023-03-27,10.45,10.45,107854,10.45,10.45,10.45,166,10.45,10.45,107854,10.45,10.45,10.45,,
2023-03-28,10.46,10.45,65237,10.46,10.44,10.45,170,10.46,10.45,65237,10.46,10.44,10.45,,
2023-03-30,10.44,10.44,29220,10.45,10.44,10.44,109,10.44,10.44,29220,10.45,10.44,10.44,,
2023-03-31,10.44,10.44,203,10.44,10.44,10.44,4,10.44,10.44,203,10.44,10.44,10.44,,
