Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.32,2.25,4338026,2.33,2.25,2.298,9964,2.32,2.25,4338026,2.33,2.25,2.298,,
2023-03-02,2.25,2.24,3831886,2.27,2.2,2.224,8120,2.25,2.24,3831886,2.27,2.2,2.224,,
2023-03-03,2.27,2.28,4158280,2.31,2.23,2.283,7398,2.27,2.28,4158280,2.31,2.23,2.283,,
2023-03-06,2.29,2.23,3819662,2.31,2.22,2.265,8527,2.29,2.23,3819662,2.31,2.22,2.265,,
2023-03-07,2.26,2.2,3314370,2.26,2.18,2.217,6983,2.26,2.2,3314370,2.26,2.18,2.217,,
2023-03-08,2.2,2.23,2390025,2.25,2.185,2.216,5153,2.2,2.23,2390025,2.25,2.185,2.216,,
2023-03-09,2.21,2.13,5519714,2.24,2.114,2.178,9690,2.21,2.13,5519714,2.24,2.114,2.178,,
2023-03-10,2.141,2.051,6866472,2.141,2.021,2.055,15422,2.141,2.051,6866472,2.141,2.021,2.055,,
2023-03-13,2.011,2.031,7034444,2.141,2.011,2.096,10574,2.011,2.031,7034444,2.141,2.011,2.096,,
2023-03-14,2.061,2.071,4212173,2.111,2.051,2.082,8052,2.061,2.071,4212173,2.111,2.051,2.082,,
2023-03-15,2.061,2.031,6091077,2.061,1.971,2.008,12574,2.061,2.031,6091077,2.061,1.971,2.008,,
2023-03-16,2.001,2.041,9659090,2.081,1.981,2.053,13266,2.001,2.041,9659090,2.081,1.981,2.053,,
2023-03-17,2.021,2.001,5063275,2.038,1.971,1.996,10758,2.021,2.001,5063275,2.038,1.971,1.996,,
2023-03-20,2.001,1.861,7189733,2.001,1.851,1.908,13966,2.001,1.861,7189733,2.001,1.851,1.908,,
2023-03-21,1.891,1.971,6596672,2.021,1.871,1.982,11979,1.891,1.971,6596672,2.021,1.871,1.982,,
2023-03-22,1.971,1.881,5594117,2.001,1.881,1.943,7547,1.971,1.881,5594117,2.001,1.881,1.943,,
2023-03-23,1.921,1.911,4543706,1.951,1.891,1.92,7816,1.921,1.911,4543706,1.951,1.891,1.92,,
2023-03-24,1.911,1.901,4020725,1.931,1.879,1.915,6264,1.911,1.901,4020725,1.931,1.879,1.915,,
2023-03-27,1.911,1.881,4621631,1.926,1.861,1.892,7307,1.911,1.881,4621631,1.926,1.861,1.892,,
2023-03-28,1.871,1.811,4046917,1.891,1.811,1.847,8321,1.871,1.811,4046917,1.891,1.811,1.847,,
2023-03-29,1.811,1.811,4562156,1.861,1.801,1.828,8197,1.811,1.811,4562156,1.861,1.801,1.828,,
2023-03-30,1.811,1.761,5139660,1.831,1.761,1.787,10026,1.811,1.761,5139660,1.831,1.761,1.787,,
2023-03-31,1.781,1.751,5151600,1.791,1.751,1.766,10023,1.781,1.751,5151600,1.791,1.751,1.766,,
