Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.4132,0.41,46977,0.4199,0.408,0.4127,221,12.4,12.3,1566,12.6,12.24,12.38,,
2023-03-02,0.42,0.3702,293388,0.42,0.362,0.3796,687,12.6,11.11,9780,12.6,10.86,11.39,,
2023-03-03,0.385,0.3701,236969,0.385,0.3466,0.367,618,11.55,11.1,7899,11.55,10.4,11.01,,
2023-03-06,0.373,0.37,79903,0.3845,0.35,0.3712,576,11.19,11.1,2663,11.54,10.5,11.14,,
2023-03-07,0.35,0.3627,165621,0.384,0.35,0.3642,364,10.5,10.88,5521,11.52,10.5,10.93,,
2023-03-08,0.37,0.3694,57333,0.3879,0.356,0.3633,222,11.1,11.08,1911,11.64,10.68,10.9,,
2023-03-09,0.37,0.3527,87158,0.3809,0.3527,0.3641,286,11.1,10.58,2905,11.43,10.58,10.92,,
2023-03-10,0.3529,0.3502,125670,0.3797,0.3502,0.3557,291,10.59,10.51,4189,11.39,10.51,10.67,,
2023-03-13,0.3502,0.3435,64784,0.3702,0.3352,0.3501,411,10.51,10.31,2159,11.11,10.06,10.5,,
2023-03-14,0.3556,0.3152,154787,0.3702,0.3152,0.3408,550,10.67,9.456,5160,11.11,9.456,10.22,,
2023-03-15,0.3342,0.3313,181050,0.3602,0.3162,0.3267,390,10.03,9.939,6035,10.81,9.486,9.801,,
2023-03-16,0.3402,0.3474,140522,0.3559,0.3202,0.3434,422,10.21,10.42,4684,10.68,9.606,10.3,,
2023-03-17,0.335,0.3302,288871,0.3852,0.3302,0.3474,467,10.05,9.906,9629,11.56,9.906,10.42,,
2023-03-20,0.3372,0.3302,99496,0.3502,0.3302,0.3403,281,10.12,9.906,3317,10.51,9.906,10.21,,
2023-03-21,0.3302,0.3352,90228,0.3681,0.3302,0.3395,475,9.906,10.06,3008,11.04,9.906,10.19,,
2023-03-22,0.3402,0.3652,57923,0.3682,0.3347,0.3512,296,10.21,10.96,1931,11.05,10.04,10.54,,
2023-03-23,0.3852,0.3734,136324,0.3852,0.3503,0.3705,423,11.56,11.2,4544,11.56,10.51,11.12,,
2023-03-24,0.3702,0.3832,64601,0.3867,0.3652,0.3756,476,11.11,11.5,2153,11.6,10.96,11.27,,
2023-03-27,0.3902,0.4,143372,0.4002,0.3752,0.3919,376,11.71,12,4779,12.01,11.26,11.76,,
2023-03-28,0.4002,0.4002,130408,0.4202,0.3902,0.4034,364,12.01,12.01,4347,12.61,11.71,12.1,,
2023-03-29,0.4102,0.4042,122171,0.4102,0.3902,0.4033,368,12.31,12.13,4072,12.31,11.71,12.1,,
2023-03-30,0.3912,0.4102,88576,0.4114,0.3903,0.3987,260,11.74,12.31,2953,12.34,11.71,11.96,,
2023-03-31,0.4328,0.3821,113213,0.4328,0.3812,0.4026,335,12.98,11.46,3774,12.98,11.44,12.08,,
