Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3.14,3.1,20241,3.261,3.02,3.101,167,3.14,3.1,20241,3.261,3.02,3.101,,
2023-03-02,3.01,3.09,2726,3.09,3.01,3.039,51,3.01,3.09,2726,3.09,3.01,3.039,,
2023-03-03,3.02,3.15,2887,3.15,3.02,3.09,42,3.02,3.15,2887,3.15,3.02,3.09,,
2023-03-06,3.33,3.04,4400,3.33,3.03,3.094,45,3.33,3.04,4400,3.33,3.03,3.094,,
2023-03-07,3.145,3.08,7159,3.25,3.07,3.174,52,3.145,3.08,7159,3.25,3.07,3.174,,
2023-03-08,3.06,3.2,19823,3.289,3.06,3.214,148,3.06,3.2,19823,3.289,3.06,3.214,,
2023-03-09,3.215,3.35,24101,3.35,3.206,3.298,130,3.215,3.35,24101,3.35,3.206,3.298,,
2023-03-10,3.252,3.502,27240,3.502,3.202,3.359,149,3.252,3.502,27240,3.502,3.202,3.359,,
2023-03-13,4.102,4.252,9910368,5.045,4.062,4.618,55763,4.102,4.252,9910368,5.045,4.062,4.618,,
2023-03-14,4.332,3.822,373218,4.342,3.708,3.928,2747,4.332,3.822,373218,4.342,3.708,3.928,,
2023-03-15,3.782,3.572,115790,3.792,3.522,3.652,747,3.782,3.572,115790,3.792,3.522,3.652,,
2023-03-16,3.902,3.362,305311,4.152,3.137,3.574,2071,3.902,3.362,305311,4.152,3.137,3.574,,
2023-03-17,3.452,3.552,340550,3.608,3.002,3.343,1495,3.452,3.552,340550,3.608,3.002,3.343,,
2023-03-20,3.452,3.202,128334,3.602,3.072,3.281,1100,3.452,3.202,128334,3.602,3.072,3.281,,
2023-03-21,3.072,2.938,81247,3.152,2.901,3.027,571,3.072,2.938,81247,3.152,2.901,3.027,,
2023-03-22,2.861,2.851,69642,3.002,2.771,2.872,371,2.861,2.851,69642,3.002,2.771,2.872,,
2023-03-23,2.811,2.546,56512,2.881,2.501,2.658,372,2.811,2.546,56512,2.881,2.501,2.658,,
2023-03-24,2.501,2.49,39519,2.671,2.481,2.531,187,2.501,2.49,39519,2.671,2.481,2.531,,
2023-03-27,2.331,2.251,90180,2.411,2.151,2.267,427,2.331,2.251,90180,2.411,2.151,2.267,,
2023-03-28,2.201,1.591,152942,2.291,1.501,1.74,770,2.201,1.591,152942,2.291,1.501,1.74,,
2023-03-29,1.611,1.411,215308,1.671,1.261,1.419,1556,1.611,1.411,215308,1.671,1.261,1.419,,
2023-03-30,1.411,1.291,194682,1.541,1.25,1.416,730,1.411,1.291,194682,1.541,1.25,1.416,,
2023-03-31,1.271,1.15,126476,1.321,1.11,1.212,538,1.271,1.15,126476,1.321,1.11,1.212,,
