Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.96,2.71,220196,3.01,2.71,2.837,2720,2.96,2.71,220196,3.01,2.71,2.837,,
2023-03-02,2.75,2.91,301346,2.97,2.62,2.846,2884,2.75,2.91,301346,2.97,2.62,2.846,,
2023-03-03,2.89,2.73,93524,2.92,2.72,2.828,1361,2.89,2.73,93524,2.92,2.72,2.828,,
2023-03-06,2.72,2.65,352120,2.74,2.42,2.584,2641,2.72,2.65,352120,2.74,2.42,2.584,,
2023-03-07,2.64,2.5,78164,2.78,2.5,2.595,996,2.64,2.5,78164,2.78,2.5,2.595,,
2023-03-08,2.5,2.35,200035,2.64,2.3,2.431,1797,2.5,2.35,200035,2.64,2.3,2.431,,
2023-03-09,2.29,2.12,161449,2.41,2.06,2.188,2123,2.29,2.12,161449,2.41,2.06,2.188,,
2023-03-10,2.081,1.961,161427,2.111,1.831,1.983,1518,2.081,1.961,161427,2.111,1.831,1.983,,
2023-03-13,1.861,1.851,258737,1.971,1.761,1.848,2057,1.861,1.851,258737,1.971,1.761,1.848,,
2023-03-14,1.951,1.691,191125,2.101,1.664,1.806,1813,1.951,1.691,191125,2.101,1.664,1.806,,
2023-03-15,1.551,1.581,134547,1.671,1.521,1.588,1327,1.551,1.581,134547,1.671,1.521,1.588,,
2023-03-16,1.561,1.611,196115,1.631,1.501,1.598,1665,1.561,1.611,196115,1.631,1.501,1.598,,
2023-03-17,1.561,1.471,337743,1.64,1.441,1.495,1773,1.561,1.471,337743,1.64,1.441,1.495,,
2023-03-20,1.471,1.421,150850,1.531,1.351,1.415,1511,1.471,1.421,150850,1.531,1.351,1.415,,
2023-03-21,1.461,1.821,376762,1.961,1.461,1.804,3144,1.461,1.821,376762,1.961,1.461,1.804,,
2023-03-22,1.851,1.681,166023,1.881,1.642,1.735,2442,1.851,1.681,166023,1.881,1.642,1.735,,
2023-03-23,1.661,1.541,117928,1.756,1.521,1.586,1310,1.661,1.541,117928,1.756,1.521,1.586,,
2023-03-24,1.541,1.551,120276,1.571,1.471,1.53,1183,1.541,1.551,120276,1.571,1.471,1.53,,
2023-03-27,1.581,1.551,75561,1.611,1.531,1.562,859,1.581,1.551,75561,1.611,1.531,1.562,,
2023-03-28,1.531,1.521,158830,1.601,1.521,1.54,1320,1.531,1.521,158830,1.601,1.521,1.54,,
2023-03-29,1.591,1.551,139772,1.741,1.521,1.591,885,1.591,1.551,139772,1.741,1.521,1.591,,
2023-03-30,1.581,1.621,41411,1.63,1.541,1.594,856,1.581,1.621,41411,1.63,1.541,1.594,,
2023-03-31,1.631,1.731,100420,1.751,1.631,1.711,875,1.631,1.731,100420,1.751,1.631,1.711,,
