Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.65,10.68,42679,10.68,10.65,10.67,59,10.65,10.68,42679,10.68,10.65,10.67,,
2023-03-02,10.67,10.67,2713,10.67,10.67,10.67,30,10.67,10.67,2713,10.67,10.67,10.67,,
2023-03-03,10.68,10.69,2110,10.69,10.68,10.68,4,10.68,10.69,2110,10.69,10.68,10.68,,
2023-03-06,10.7,10.69,1193,10.7,10.69,10.69,13,10.7,10.69,1193,10.7,10.69,10.69,,
2023-03-14,10.66,10.66,111,10.66,10.66,10.66,5,10.66,10.66,111,10.66,10.66,10.66,,
2023-03-22,10.66,10.66,102,10.66,10.66,10.66,3,10.66,10.66,102,10.66,10.66,10.66,,
2023-03-23,10.66,10.66,105,10.66,10.66,10.66,3,10.66,10.66,105,10.66,10.66,10.66,,
2023-03-24,10.66,10.66,135,10.66,10.66,10.67,21,10.66,10.66,135,10.66,10.66,10.67,,
2023-03-27,10.67,10.67,1450,10.67,10.67,10.67,35,10.67,10.67,1450,10.67,10.67,10.67,,
2023-03-28,10.74,10.74,628,10.74,10.74,10.74,12,10.74,10.74,628,10.74,10.74,10.74,,
2023-03-29,10.67,10.67,6527,10.67,10.66,10.67,25,10.67,10.67,6527,10.67,10.66,10.67,,
2023-03-31,10.69,10.69,102,10.69,10.69,10.69,3,10.69,10.69,102,10.69,10.69,10.69,,
