Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.45,1.4,27516890,1.48,1.32,1.388,42017,1.45,1.4,27516890,1.48,1.32,1.388,,
2023-03-02,1.36,1.4,25748675,1.4,1.29,1.34,37168,1.36,1.4,25748675,1.4,1.29,1.34,,
2023-03-03,1.395,1.39,33667622,1.4,1.33,1.362,34661,1.395,1.39,33667622,1.4,1.33,1.362,,
2023-03-06,1.35,1.36,22270863,1.4,1.33,1.366,27903,1.35,1.36,22270863,1.4,1.33,1.366,,
2023-03-07,1.37,1.3,28412883,1.39,1.29,1.332,36521,1.37,1.3,28412883,1.39,1.29,1.332,,
2023-03-08,1.31,1.32,25199886,1.35,1.22,1.297,33724,1.31,1.32,25199886,1.35,1.22,1.297,,
2023-03-09,1.32,1.25,18870831,1.34,1.25,1.287,34369,1.32,1.25,18870831,1.34,1.25,1.287,,
2023-03-10,1.261,1.241,23151962,1.321,1.191,1.242,37692,1.261,1.241,23151962,1.321,1.191,1.242,,
2023-03-13,1.231,1.351,34185862,1.401,1.191,1.342,43959,1.231,1.351,34185862,1.401,1.191,1.342,,
2023-03-14,1.411,1.351,20503136,1.411,1.291,1.334,31752,1.411,1.351,20503136,1.411,1.291,1.334,,
2023-03-15,1.301,1.331,20411724,1.351,1.271,1.318,30801,1.301,1.331,20411724,1.351,1.271,1.318,,
2023-03-16,1.311,1.321,17035504,1.371,1.261,1.316,27025,1.311,1.321,17035504,1.371,1.261,1.316,,
2023-03-17,1.301,1.281,23954575,1.321,1.231,1.276,22649,1.301,1.281,23954575,1.321,1.231,1.276,,
2023-03-20,1.281,1.241,20645320,1.311,1.211,1.246,28166,1.281,1.241,20645320,1.311,1.211,1.246,,
2023-03-21,1.261,1.351,17122669,1.381,1.241,1.331,24074,1.261,1.351,17122669,1.381,1.241,1.331,,
2023-03-22,1.361,1.221,22417264,1.361,1.221,1.282,29601,1.361,1.221,22417264,1.361,1.221,1.282,,
2023-03-23,1.261,1.231,16509346,1.331,1.191,1.254,24360,1.261,1.231,16509346,1.331,1.191,1.254,,
2023-03-24,1.211,1.271,13884938,1.301,1.201,1.264,30047,1.211,1.271,13884938,1.301,1.201,1.264,,
2023-03-27,1.281,1.231,13470237,1.301,1.201,1.24,23686,1.281,1.231,13470237,1.301,1.201,1.24,,
2023-03-28,1.226,1.201,11169975,1.261,1.166,1.211,17479,1.226,1.201,11169975,1.261,1.166,1.211,,
2023-03-29,1.221,1.271,15769041,1.281,1.201,1.243,26242,1.221,1.271,15769041,1.281,1.201,1.243,,
2023-03-30,1.291,1.23,12511427,1.301,1.22,1.248,19963,1.291,1.23,12511427,1.301,1.22,1.248,,
2023-03-31,1.24,1.331,19174234,1.381,1.21,1.334,29354,1.24,1.331,19174234,1.381,1.21,1.334,,
