Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.5799,0.595,38472,0.6053,0.5799,0.5904,335,0.5799,0.595,38472,0.6053,0.5799,0.5904,,
2023-03-02,0.597,0.6,35794,0.6041,0.58,0.5928,130,0.597,0.6,35794,0.6041,0.58,0.5928,,
2023-03-03,0.6149,0.6252,60043,0.6311,0.605,0.6178,121,0.6149,0.6252,60043,0.6311,0.605,0.6178,,
2023-03-06,0.61,0.6099,29646,0.63,0.6,0.6128,140,0.61,0.6099,29646,0.63,0.6,0.6128,,
2023-03-07,0.6,0.575,52013,0.6097,0.5727,0.5857,193,0.6,0.575,52013,0.6097,0.5727,0.5857,,
2023-03-08,0.5959,0.5599,29336,0.5959,0.555,0.5698,144,0.5959,0.5599,29336,0.5959,0.555,0.5698,,
2023-03-09,0.5526,0.543,67476,0.56,0.5286,0.5482,179,0.5526,0.543,67476,0.56,0.5286,0.5482,,
2023-03-10,0.5303,0.5043,62862,0.5303,0.4802,0.5139,254,0.5303,0.5043,62862,0.5303,0.4802,0.5139,,
2023-03-13,0.4853,0.5353,85354,0.5403,0.4806,0.5152,196,0.4853,0.5353,85354,0.5403,0.4806,0.5152,,
2023-03-14,0.5378,0.5103,71570,0.5378,0.5053,0.5128,199,0.5378,0.5103,71570,0.5378,0.5053,0.5128,,
2023-03-15,0.4832,0.4802,91569,0.5103,0.4702,0.4853,236,0.4832,0.4802,91569,0.5103,0.4702,0.4853,,
2023-03-16,0.4967,0.5152,60599,0.5203,0.4803,0.5025,157,0.4967,0.5152,60599,0.5203,0.4803,0.5025,,
2023-03-17,0.5002,0.488,34173,0.5152,0.4802,0.4882,115,0.5002,0.488,34173,0.5152,0.4802,0.4882,,
2023-03-20,0.4855,0.4732,123236,0.5101,0.4503,0.4653,284,0.4855,0.4732,123236,0.5101,0.4503,0.4653,,
2023-03-21,0.4702,0.4552,262554,0.4901,0.4452,0.4619,620,0.4702,0.4552,262554,0.4901,0.4452,0.4619,,
2023-03-22,0.4472,0.4154,125206,0.4602,0.4052,0.4406,312,0.4472,0.4154,125206,0.4602,0.4052,0.4406,,
2023-03-23,0.4202,0.4303,52206,0.4502,0.4202,0.4273,150,0.4202,0.4303,52206,0.4502,0.4202,0.4273,,
2023-03-24,0.4302,0.4123,110875,0.4302,0.4051,0.4161,243,0.4302,0.4123,110875,0.4302,0.4051,0.4161,,
2023-03-27,0.4108,0.4402,78213,0.4502,0.4108,0.4245,117,0.4108,0.4402,78213,0.4502,0.4108,0.4245,,
2023-03-28,0.4402,0.4562,49199,0.4602,0.4302,0.4466,136,0.4402,0.4562,49199,0.4602,0.4302,0.4466,,
2023-03-29,0.4602,0.4623,57431,0.4727,0.4402,0.4633,162,0.4602,0.4623,57431,0.4727,0.4402,0.4633,,
2023-03-30,0.4802,0.4602,14741,0.4802,0.4583,0.4636,94,0.4802,0.4602,14741,0.4802,0.4583,0.4636,,
2023-03-31,0.4602,0.4403,42917,0.4602,0.4357,0.4498,112,0.4602,0.4403,42917,0.4602,0.4357,0.4498,,
