Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.11,1.12,345458,1.15,1.11,1.128,1828,1.11,1.12,345458,1.15,1.11,1.128,,
2023-03-02,1.12,1.14,292352,1.18,1.1,1.141,1661,1.12,1.14,292352,1.18,1.1,1.141,,
2023-03-03,1.13,1.17,248814,1.205,1.122,1.164,1386,1.13,1.17,248814,1.205,1.122,1.164,,
2023-03-06,1.15,1.07,706230,1.16,1.06,1.081,3012,1.15,1.07,706230,1.16,1.06,1.081,,
2023-03-07,1.08,1.1,343746,1.135,1.06,1.1,2161,1.08,1.1,343746,1.135,1.06,1.1,,
2023-03-08,1.1,1.15,392387,1.15,1.08,1.129,1992,1.1,1.15,392387,1.15,1.08,1.129,,
2023-03-09,1.16,1.02,729024,1.19,1.01,1.086,2455,1.16,1.02,729024,1.19,1.01,1.086,,
2023-03-10,1.021,0.9105,1037644,1.051,0.9016,0.9519,3748,1.021,0.9105,1037644,1.051,0.9016,0.9519,,
2023-03-13,0.9447,0.93,494790,0.9945,0.9106,0.9565,2290,0.9447,0.93,494790,0.9945,0.9106,0.9565,,
2023-03-14,0.93,0.8894,735590,0.9558,0.8648,0.9043,2489,0.93,0.8894,735590,0.9558,0.8648,0.9043,,
2023-03-15,0.878,0.8998,316653,0.8998,0.8604,0.8763,1100,0.878,0.8998,316653,0.8998,0.8604,0.8763,,
2023-03-16,0.8726,0.8888,579277,0.9393,0.8604,0.8812,1832,0.8726,0.8888,579277,0.9393,0.8604,0.8812,,
2023-03-17,0.8786,0.8704,471154,0.8944,0.8424,0.8571,1442,0.8786,0.8704,471154,0.8944,0.8424,0.8571,,
2023-03-20,0.8704,0.8304,524716,0.8765,0.8014,0.8321,1380,0.8704,0.8304,524716,0.8765,0.8014,0.8321,,
2023-03-21,0.8504,0.8504,736762,0.8604,0.8014,0.8334,1591,0.8504,0.8504,736762,0.8604,0.8014,0.8334,,
2023-03-22,0.8404,0.7909,532907,0.8652,0.7811,0.8169,1288,0.8404,0.7909,532907,0.8652,0.7811,0.8169,,
2023-03-23,0.7904,0.7401,691120,0.8252,0.7154,0.7605,1910,0.7904,0.7401,691120,0.8252,0.7154,0.7605,,
2023-03-24,0.7375,0.7003,590055,0.7553,0.6921,0.7148,1871,0.7375,0.7003,590055,0.7553,0.6921,0.7148,,
2023-03-27,0.7267,0.7403,2928887,0.7404,0.6823,0.7073,3371,0.7267,0.7403,2928887,0.7404,0.6823,0.7073,,
2023-03-28,0.7504,0.7677,1356984,0.8252,0.7504,0.7956,3025,0.7504,0.7677,1356984,0.8252,0.7504,0.7956,,
2023-03-29,0.8104,0.7584,701930,0.8104,0.7404,0.76,1996,0.8104,0.7584,701930,0.8104,0.7404,0.76,,
2023-03-30,0.7603,0.7023,638177,0.7803,0.7003,0.7227,1346,0.7603,0.7023,638177,0.7803,0.7003,0.7227,,
2023-03-31,0.7183,0.7539,716496,0.7683,0.7008,0.7375,2074,0.7183,0.7539,716496,0.7683,0.7008,0.7375,,
