Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.49,21.49,187559,21.59,21.28,21.42,4694,21.35,21.35,187559,21.45,21.14,21.28,,
2023-03-02,21.34,21.62,142129,21.84,21.07,21.58,3477,21.2,21.48,142129,21.7,20.93,21.44,,
2023-03-03,21.6,22.37,178111,22.47,21.5,22.2,3368,21.46,22.22,178111,22.32,21.36,22.05,,
2023-03-06,22.32,22.37,167615,22.44,22.02,22.29,3914,22.17,22.22,167615,22.29,21.87,22.14,,
2023-03-07,22.31,21.41,191016,22.37,21.4,21.68,3755,22.16,21.27,191016,22.22,21.26,21.54,,
2023-03-08,21.45,21.85,238076,22.02,21.32,21.74,3238,21.31,21.71,238076,21.87,21.18,21.6,,
2023-03-09,21.91,21.4,163625,22.12,21.4,21.65,2708,21.77,21.26,163625,21.97,21.26,21.51,,
2023-03-10,21.28,20.52,271585,21.31,20.4,20.75,4301,21.14,20.38,271585,21.17,20.27,20.61,,
2023-03-13,20.04,20.32,239107,20.61,19.45,20.37,4291,19.91,20.19,239107,20.47,19.32,20.24,,
2023-03-14,20.67,20.38,220182,21.01,20.19,20.44,3615,20.53,20.25,220182,20.87,20.06,20.3,,
2023-03-15,20.01,20.19,320126,20.39,19.51,19.99,5002,19.88,20.06,320126,20.26,19.38,19.86,,
2023-03-16,20.2,20.17,242914,20.35,19.68,20.09,4502,20.07,20.04,242914,20.22,19.55,19.96,,
2023-03-17,20.05,19.14,436162,20.21,19.05,19.31,6005,19.92,19.01,436162,20.08,18.92,19.18,,
2023-03-20,19.3,19.66,318383,19.85,19.08,19.55,4879,19.17,19.53,318383,19.72,18.95,19.42,,
2023-03-21,19.96,20.29,224182,20.64,19.96,20.35,3409,19.83,20.16,224182,20.5,19.83,20.22,,
2023-03-22,20.32,20.4,236192,20.79,20.04,20.5,4198,20.19,20.27,236192,20.65,19.91,20.36,,
2023-03-23,20.51,19.19,285423,20.63,19.14,19.51,4065,20.37,19.06,285423,20.49,19.01,19.38,,
2023-03-24,19.16,19.02,264012,19.16,18.49,18.88,4291,19.03,18.89,264012,19.03,18.37,18.76,,
2023-03-27,19.26,19.72,216165,19.85,19.26,19.63,4560,19.13,19.59,216165,19.72,19.13,19.5,,
2023-03-28,20.14,21.28,432728,21.86,19.76,21.34,6203,20.01,21.14,432728,21.72,19.63,21.2,,
2023-03-29,21.6,21.43,308731,21.6,20.78,21.22,4063,21.46,21.29,308731,21.46,20.64,21.08,,
2023-03-30,21.56,21.63,207596,21.99,21.47,21.66,3849,21.42,21.49,207596,21.84,21.33,21.52,,
2023-03-31,21.67,22.15,260556,22.17,21.61,22.01,4400,21.53,22,260556,22.02,21.47,21.86,,
