Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.7616,0.7581,87749,0.7999,0.75,0.7738,287,6.093,6.065,10969,6.399,6,6.19,,
2023-03-02,0.7888,0.73,118374,0.7888,0.7103,0.7372,481,6.31,5.84,14797,6.31,5.682,5.898,,
2023-03-03,0.7122,0.73,89787,0.748,0.7,0.7284,719,5.698,5.84,11223,5.984,5.6,5.827,,
2023-03-06,0.71,0.73,130840,0.7679,0.707,0.7398,550,5.68,5.84,16355,6.143,5.656,5.918,,
2023-03-07,0.7425,0.71,78659,0.7497,0.705,0.72,376,5.94,5.68,9832,5.998,5.64,5.76,,
2023-03-08,0.7099,0.7032,103447,0.7399,0.69,0.7122,623,5.679,5.626,12931,5.919,5.52,5.698,,
2023-03-09,0.7021,0.6799,156844,0.7239,0.6799,0.6991,641,5.617,5.439,19606,5.791,5.439,5.593,,
2023-03-10,0.7003,0.6503,238929,0.7009,0.6313,0.6619,549,5.602,5.202,29866,5.607,5.05,5.295,,
2023-03-13,0.6403,0.6003,357651,0.6404,0.5803,0.601,829,5.122,4.802,44706,5.123,4.642,4.808,,
2023-03-14,0.5903,0.5657,263805,0.6103,0.5471,0.5798,820,4.722,4.526,32976,4.882,4.377,4.638,,
2023-03-15,0.5603,0.5131,339235,0.5703,0.5053,0.5327,1101,4.482,4.105,42404,4.562,4.042,4.262,,
2023-03-16,0.5109,0.5103,399663,0.5403,0.4952,0.5112,1002,4.087,4.082,49958,4.322,3.962,4.09,,
2023-03-17,0.5403,0.4982,185246,0.5403,0.4982,0.5137,891,4.322,3.986,23156,4.322,3.986,4.11,,
2023-03-20,0.5103,0.4713,237804,0.5302,0.4711,0.4885,677,4.082,3.77,29726,4.242,3.769,3.908,,
2023-03-21,0.5002,0.5303,179397,0.5473,0.4702,0.5121,778,4.002,4.242,22425,4.378,3.762,4.097,,
2023-03-22,0.5603,0.5463,58912,0.5603,0.5303,0.5462,376,4.482,4.37,7364,4.482,4.242,4.37,,
2023-03-23,0.5503,0.5355,44981,0.5622,0.5303,0.546,317,4.402,4.284,5623,4.498,4.242,4.368,,
2023-03-24,0.5603,0.5569,30614,0.5608,0.5458,0.5573,171,4.482,4.455,3827,4.486,4.366,4.458,,
2023-03-27,0.5803,0.5732,24111,0.5803,0.5525,0.5643,162,4.642,4.586,3014,4.642,4.42,4.514,,
2023-03-28,0.569,0.5414,98722,0.5712,0.5304,0.5413,526,4.552,4.331,12340,4.57,4.243,4.33,,
2023-03-29,0.5503,0.5365,57900,0.5713,0.5322,0.5489,246,4.402,4.292,7238,4.57,4.258,4.391,,
2023-03-30,0.5602,0.5002,155471,0.5602,0.5002,0.521,875,4.482,4.002,19434,4.482,4.002,4.168,,
2023-03-31,0.5002,0.4797,443179,0.5136,0.4582,0.4603,830,4.002,3.838,55397,4.109,3.666,3.682,,
