Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.32,10.32,275402,10.32,10.32,10.32,6,10.32,10.32,275402,10.32,10.32,10.32,,
2023-03-02,10.33,10.34,676211,10.34,10.32,10.33,41,10.33,10.34,676211,10.34,10.32,10.33,,
2023-03-03,10.33,10.33,4364,10.34,10.33,10.33,5,10.33,10.33,4364,10.34,10.33,10.33,,
2023-03-06,10.33,10.34,538212,10.35,10.33,10.34,36,10.33,10.34,538212,10.35,10.33,10.34,,
2023-03-07,10.34,10.35,883147,10.36,10.34,10.35,80,10.34,10.35,883147,10.36,10.34,10.35,,
2023-03-08,10.35,10.35,53151,10.36,10.35,10.35,48,10.35,10.35,53151,10.36,10.35,10.35,,
2023-03-09,10.35,10.35,296203,10.36,10.35,10.35,199,10.35,10.35,296203,10.36,10.35,10.35,,
2023-03-10,10.36,10.36,760875,10.36,10.35,10.36,54,10.36,10.36,760875,10.36,10.35,10.36,,
2023-03-13,10.35,10.37,77592,10.37,10.35,10.36,131,10.35,10.37,77592,10.37,10.35,10.36,,
2023-03-14,10.36,10.36,82586,10.36,10.36,10.36,9,10.36,10.36,82586,10.36,10.36,10.36,,
2023-03-15,10.35,10.35,177293,10.35,10.35,10.35,19,10.35,10.35,177293,10.35,10.35,10.35,,
2023-03-16,10.35,10.35,1866,10.35,10.35,10.35,7,10.35,10.35,1866,10.35,10.35,10.35,,
2023-03-17,10.35,10.35,400,10.35,10.35,10.35,4,10.35,10.35,400,10.35,10.35,10.35,,
2023-03-20,10.36,10.36,398,10.36,10.36,10.36,8,10.36,10.36,398,10.36,10.36,10.36,,
2023-03-21,10.36,10.38,34955,10.38,10.36,10.37,41,10.36,10.38,34955,10.38,10.36,10.37,,
2023-03-22,10.36,10.38,29601,10.38,10.36,10.38,30,10.36,10.38,29601,10.38,10.36,10.38,,
2023-03-27,10.38,10.39,550,10.39,10.38,10.38,6,10.38,10.39,550,10.39,10.38,10.38,,
2023-03-28,10.39,10.39,414488,10.39,10.39,10.39,101,10.39,10.39,414488,10.39,10.39,10.39,,
2023-03-29,10.38,10.38,38553,10.4,10.38,10.38,64,10.38,10.38,38553,10.4,10.38,10.38,,
2023-03-30,10.39,10.39,100,10.39,10.39,10.39,1,10.39,10.39,100,10.39,10.39,10.39,,
2023-03-31,10.4,10.4,100,10.4,10.4,10.4,1,10.4,10.4,100,10.4,10.4,10.4,,
