Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,32.3,32.3,459,32.3,32.3,31.94,39,32.3,32.3,459,32.3,32.3,31.94,,
2023-03-02,32.34,32.39,8498,32.39,32.25,32.35,144,32.34,32.39,8498,32.39,32.25,32.35,,
2023-03-03,31.93,32.09,1271,32.09,31.89,31.98,33,31.93,32.09,1271,32.09,31.89,31.98,,
2023-03-06,32.27,31.66,8385,32.3,31.41,31.86,114,32.27,31.66,8385,32.3,31.41,31.86,,
2023-03-07,31.61,31.26,3304,31.66,31.24,31.41,46,31.61,31.26,3304,31.66,31.24,31.41,,
2023-03-08,31,31,7352,31.31,31,31.13,70,31,31,7352,31.31,31,31.13,,
2023-03-09,31.57,30.22,12336,31.59,30.22,30.91,105,31.57,30.22,12336,31.59,30.22,30.91,,
2023-03-10,30.01,29.08,6310,30.01,28.71,29.23,93,30.01,29.08,6310,30.01,28.71,29.23,,
2023-03-13,28,27.51,5380,28.29,27.51,27.76,88,28,27.51,5380,28.29,27.51,27.76,,
2023-03-14,28.41,28.02,2393,28.98,28.02,28.6,49,28.41,28.02,2393,28.98,28.02,28.6,,
2023-03-15,28.26,28.02,1505,28.26,28.01,28.12,14,28.26,28.02,1505,28.26,28.01,28.12,,
2023-03-16,29.01,28.5,3637,29.01,27.48,28.36,51,29.01,28.5,3637,29.01,27.48,28.36,,
2023-03-17,28.08,31.98,11885,31.98,26.38,30.66,162,28.08,31.98,11885,31.98,26.38,30.66,,
2023-03-20,30.54,29.91,7350,30.54,29.17,29.65,83,30.54,29.91,7350,30.54,29.17,29.65,,
2023-03-21,30.42,30.42,1044,30.42,30.42,30.5,28,30.42,30.42,1044,30.42,30.42,30.5,,
2023-03-22,30.27,30.27,7939,30.34,30.27,30.41,150,30.27,30.27,7939,30.34,30.27,30.41,,
2023-03-23,29.68,28.44,7737,30.01,28.12,29.12,374,29.68,28.44,7737,30.01,28.12,29.12,,
2023-03-24,28.29,28.96,1111,28.96,28.26,28.59,86,28.29,28.96,1111,28.96,28.26,28.59,,
2023-03-27,28.99,28.96,3763,28.99,28.96,29.01,60,28.99,28.96,3763,28.99,28.96,29.01,,
2023-03-29,30,29.93,1763,30,29.93,29.94,25,30,29.93,1763,30,29.93,29.94,,
2023-03-30,29.69,29.52,8335,30,29.06,29.55,74,29.69,29.52,8335,30,29.06,29.55,,
2023-03-31,30.01,30.04,3415,30.04,30.01,30,34,30.01,30.04,3415,30.04,30.01,30,,
