Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,40.89,40.58,2392354,41.13,40.42,40.71,20213,40.89,40.58,2392354,41.13,40.42,40.71,,
2023-03-02,40.51,40.75,2825055,40.92,40.31,40.6,17960,40.51,40.75,2825055,40.92,40.31,40.6,,
2023-03-03,40.97,41.19,2783100,41.46,40.73,41.19,20473,40.97,41.19,2783100,41.46,40.73,41.19,,
2023-03-06,38.31,38.32,10481377,38.55,37.48,38.07,70829,38.31,38.32,10481377,38.55,37.48,38.07,,
2023-03-07,38.58,38.58,2657201,38.85,38.3,38.5,22619,38.58,38.58,2657201,38.85,38.3,38.5,,
2023-03-08,38.52,38.9,1912798,39.07,38.45,38.84,17787,38.52,38.9,1912798,39.07,38.45,38.84,,
2023-03-09,39.02,37.61,4454102,39.33,37.46,38.12,38206,39.02,37.61,4454102,39.33,37.46,38.12,,
2023-03-10,37.61,41.53,17205908,42.02,37.4,40.95,150713,37.61,41.53,17205908,42.02,37.4,40.95,,
2023-03-13,40.93,40.19,7861027,40.93,39.97,40.4,83653,40.93,40.19,7861027,40.93,39.97,40.4,,
2023-03-14,40.54,40.29,8922335,41.22,39.89,40.63,68970,40.54,40.29,8922335,41.22,39.89,40.63,,
2023-03-15,40.02,39.94,4459420,40.34,39.82,40.05,34315,40.02,39.94,4459420,40.34,39.82,40.05,,
2023-03-16,39.88,40.44,3907543,40.65,39.37,40.2,34397,39.88,40.44,3907543,40.65,39.37,40.2,,
2023-03-17,40.37,39.95,4711434,40.37,39.72,39.99,25477,40.37,39.95,4711434,40.37,39.72,39.99,,
2023-03-20,39.91,39.91,22205602,40.52,39.65,39.94,46223,39.91,39.91,22205602,40.52,39.65,39.94,,
