Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.136,0.134,6515370,0.1368,0.1303,0.1326,12578,0.136,0.134,6515370,0.1368,0.1303,0.1326,,
2023-03-02,0.1305,0.1252,25724402,0.1309,0.1181,0.1239,27989,0.1305,0.1252,25724402,0.1309,0.1181,0.1239,,
2023-03-03,0.1263,0.1262,13499955,0.1301,0.125,0.1271,15952,0.1263,0.1262,13499955,0.1301,0.125,0.1271,,
2023-03-06,0.1276,0.1241,12690684,0.1285,0.1225,0.1241,16950,0.1276,0.1241,12690684,0.1285,0.1225,0.1241,,
2023-03-07,0.1232,0.12,18014883,0.1232,0.1178,0.1195,19453,0.1232,0.12,18014883,0.1232,0.1178,0.1195,,
2023-03-08,0.1194,0.1153,19586513,0.1195,0.112,0.1139,27225,0.1194,0.1153,19586513,0.1195,0.112,0.1139,,
2023-03-09,0.116,0.1124,17178131,0.1207,0.1121,0.1157,21530,0.116,0.1124,17178131,0.1207,0.1121,0.1157,,
2023-03-10,0.1126,0.1075,17689114,0.1126,0.1045,0.1072,20626,0.1126,0.1075,17689114,0.1126,0.1045,0.1072,,
2023-03-13,0.1064,0.1155,27323193,0.117,0.0987,0.1048,35874,0.1064,0.1155,27323193,0.117,0.0987,0.1048,,
2023-03-14,0.1151,0.1115,16810126,0.1172,0.1092,0.1113,22500,0.1151,0.1115,16810126,0.1172,0.1092,0.1113,,
2023-03-15,0.1073,0.1106,19038789,0.1114,0.099,0.1047,19063,0.1073,0.1106,19038789,0.1114,0.099,0.1047,,
2023-03-16,0.1051,0.1221,20692249,0.1221,0.1043,0.1159,19888,0.1051,0.1221,20692249,0.1221,0.1043,0.1159,,
2023-03-17,0.1132,0.1181,15666858,0.1191,0.1101,0.114,17449,0.1132,0.1181,15666858,0.1191,0.1101,0.114,,
2023-03-20,0.1151,0.1091,11993692,0.1161,0.1076,0.1102,16868,0.1151,0.1091,11993692,0.1161,0.1076,0.1102,,
2023-03-21,0.1101,0.1118,8622329,0.1142,0.1081,0.1109,10557,0.1101,0.1118,8622329,0.1142,0.1081,0.1109,,
2023-03-22,0.1111,0.1161,9027807,0.1171,0.1103,0.1145,11588,0.1111,0.1161,9027807,0.1171,0.1103,0.1145,,
2023-03-23,0.1195,0.1165,11387849,0.1221,0.1122,0.1178,11718,0.1195,0.1165,11387849,0.1221,0.1122,0.1178,,
2023-03-24,0.1133,0.1159,6919934,0.1175,0.1101,0.112,10444,0.1133,0.1159,6919934,0.1175,0.1101,0.112,,
2023-03-27,0.1171,0.1125,12039149,0.1205,0.1076,0.1122,12647,0.1171,0.1125,12039149,0.1205,0.1076,0.1122,,
2023-03-28,0.1144,0.1151,9339196,0.1161,0.11,0.1125,9293,0.1144,0.1151,9339196,0.1161,0.11,0.1125,,
2023-03-29,0.1151,0.1203,14510983,0.1226,0.114,0.1181,11472,0.1151,0.1203,14510983,0.1226,0.114,0.1181,,
2023-03-30,0.1155,0.1131,15347376,0.1247,0.112,0.1171,12320,0.1155,0.1131,15347376,0.1247,0.112,0.1171,,
2023-03-31,0.1126,0.108,18600249,0.115,0.105,0.1083,15814,0.1126,0.108,18600249,0.115,0.105,0.1083,,
