Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.43,1.37,39652,1.5,1.3,1.369,319,1.43,1.37,39652,1.5,1.3,1.369,,
2023-03-02,1.33,1.38,35413,1.464,1.33,1.4,213,1.33,1.38,35413,1.464,1.33,1.4,,
2023-03-03,1.4,1.44,130855,1.544,1.35,1.478,581,1.4,1.44,130855,1.544,1.35,1.478,,
2023-03-06,1.4,1.37,18616,1.49,1.35,1.395,180,1.4,1.37,18616,1.49,1.35,1.395,,
2023-03-07,1.395,1.3,71022,1.395,1.27,1.322,293,1.395,1.3,71022,1.395,1.27,1.322,,
2023-03-08,1.29,1.24,38405,1.32,1.21,1.258,297,1.29,1.24,38405,1.32,1.21,1.258,,
2023-03-09,1.28,1.23,34681,1.29,1.17,1.232,267,1.28,1.23,34681,1.29,1.17,1.232,,
2023-03-10,1.251,1.141,61141,1.251,1.051,1.12,361,1.251,1.141,61141,1.251,1.051,1.12,,
2023-03-13,1.191,1.071,15811,1.191,1.061,1.111,144,1.191,1.071,15811,1.191,1.061,1.111,,
2023-03-14,1.031,0.9815,46977,1.071,0.9566,1.009,386,1.031,0.9815,46977,1.071,0.9566,1.009,,
2023-03-15,1.021,0.9605,47377,1.021,0.9505,0.9798,184,1.021,0.9605,47377,1.021,0.9505,0.9798,,
2023-03-16,0.9805,0.9705,18269,1.021,0.928,0.9812,101,0.9805,0.9705,18269,1.021,0.928,0.9812,,
2023-03-17,1.021,1.051,127791,1.201,1.021,1.092,481,1.021,1.051,127791,1.201,1.021,1.092,,
2023-03-20,1.031,1,13698,1.051,1,1.022,123,1.031,1,13698,1.051,1,1.022,,
2023-03-21,1.021,1.071,20099,1.118,1.021,1.054,111,1.021,1.071,20099,1.118,1.021,1.054,,
2023-03-22,1.051,1.126,23435,1.141,1.051,1.123,127,1.051,1.126,23435,1.141,1.051,1.123,,
2023-03-23,1.091,1.311,70828,1.401,1.051,1.274,419,1.091,1.311,70828,1.401,1.051,1.274,,
2023-03-24,1.381,1.361,219986,1.531,1.221,1.356,937,1.381,1.361,219986,1.531,1.221,1.356,,
2023-03-27,1.301,1.241,40825,1.351,1.206,1.277,235,1.301,1.241,40825,1.351,1.206,1.277,,
2023-03-28,1.211,1.231,26230,1.293,1.151,1.248,200,1.211,1.231,26230,1.293,1.151,1.248,,
2023-03-29,1.211,1.111,55438,1.211,1.061,1.128,307,1.211,1.111,55438,1.211,1.061,1.128,,
2023-03-30,1.14,1.235,144253,1.331,1.14,1.228,611,1.14,1.235,144253,1.331,1.14,1.228,,
2023-03-31,1.22,1.401,53617,1.427,1.21,1.36,272,1.22,1.401,53617,1.427,1.21,1.36,,
