Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.485,0.515,1078080,0.533,0.48,0.5127,2635,0.485,0.515,1078080,0.533,0.48,0.5127,,
2023-03-02,0.5227,0.4616,771627,0.5227,0.4501,0.4772,2068,0.5227,0.4616,771627,0.5227,0.4501,0.4772,,
2023-03-03,0.47,0.4902,682766,0.5,0.46,0.4804,2290,0.47,0.4902,682766,0.5,0.46,0.4804,,
2023-03-06,0.4974,0.4529,562441,0.5,0.45,0.4692,1883,0.4974,0.4529,562441,0.5,0.45,0.4692,,
2023-03-07,0.4505,0.4345,423407,0.465,0.43,0.442,1740,0.4505,0.4345,423407,0.465,0.43,0.442,,
2023-03-08,0.4382,0.4002,802569,0.4382,0.3901,0.4041,2165,0.4382,0.4002,802569,0.4382,0.3901,0.4041,,
2023-03-09,0.4029,0.3555,1113465,0.4029,0.3555,0.3718,2676,0.4029,0.3555,1113465,0.4029,0.3555,0.3718,,
2023-03-10,0.3603,0.3379,555502,0.3783,0.3336,0.3466,1992,0.3603,0.3379,555502,0.3783,0.3336,0.3466,,
2023-03-13,0.3402,0.3303,646820,0.3502,0.316,0.3318,1559,0.3402,0.3303,646820,0.3502,0.316,0.3318,,
2023-03-14,0.3602,0.3268,558820,0.3602,0.3212,0.3335,1788,0.3602,0.3268,558820,0.3602,0.3212,0.3335,,
2023-03-15,0.3402,0.3033,700605,0.3442,0.3025,0.3132,1996,0.3402,0.3033,700605,0.3442,0.3025,0.3132,,
2023-03-16,0.3016,0.3191,946765,0.3352,0.2912,0.3044,2333,0.3016,0.3191,946765,0.3352,0.2912,0.3044,,
2023-03-17,0.3202,0.4602,1484823,0.4602,0.3064,0.3884,2654,0.3202,0.4602,1484823,0.4602,0.3064,0.3884,,
2023-03-20,0.3302,0.3595,1356152,0.3748,0.3012,0.3467,3185,0.3302,0.3595,1356152,0.3748,0.3012,0.3467,,
2023-03-21,0.3646,0.3802,536531,0.3902,0.3646,0.3808,1719,0.3646,0.3802,536531,0.3902,0.3646,0.3808,,
2023-03-22,0.3782,0.3615,566651,0.4202,0.3522,0.3853,1530,0.3782,0.3615,566651,0.4202,0.3522,0.3853,,
2023-03-23,0.3607,0.3408,632591,0.3802,0.3318,0.3562,1843,0.3607,0.3408,632591,0.3802,0.3318,0.3562,,
2023-03-24,0.3402,0.3189,367116,0.3499,0.3102,0.3192,1810,0.3402,0.3189,367116,0.3499,0.3102,0.3192,,
2023-03-27,0.3317,0.3245,219336,0.3317,0.3203,0.3257,891,0.3317,0.3245,219336,0.3317,0.3203,0.3257,,
2023-03-28,0.3229,0.3246,160559,0.3402,0.3202,0.3287,867,0.3229,0.3246,160559,0.3402,0.3202,0.3287,,
2023-03-29,0.3302,0.3202,212325,0.3444,0.3202,0.3272,703,0.3302,0.3202,212325,0.3444,0.3202,0.3272,,
2023-03-30,0.3247,0.3331,524642,0.3501,0.3242,0.3339,1300,0.3247,0.3331,524642,0.3501,0.3242,0.3339,,
2023-03-31,0.3501,0.3517,419574,0.3598,0.3302,0.3437,1308,0.3501,0.3517,419574,0.3598,0.3302,0.3437,,
