Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,10.4,10.4,85415,10.47,10.4,10.4,24,10.4,10.4,85415,10.47,10.4,10.4,,
2023-03-03,10.4,10.39,11538,10.41,10.37,10.39,52,10.4,10.39,11538,10.41,10.37,10.39,,
2023-03-06,10.46,10.42,65414,10.6,10.39,10.42,156,10.46,10.42,65414,10.6,10.39,10.42,,
2023-03-07,10.5,10.44,40393,10.5,10.4,10.43,182,10.5,10.44,40393,10.5,10.4,10.43,,
2023-03-08,10.4,10.44,26246,10.5,10.35,10.44,98,10.4,10.44,26246,10.5,10.35,10.44,,
2023-03-09,10.4,10.42,54922,10.46,10.38,10.4,207,10.4,10.42,54922,10.46,10.38,10.4,,
2023-03-10,10.38,10.41,13683,10.47,10.38,10.42,39,10.38,10.41,13683,10.47,10.38,10.42,,
2023-03-13,10.31,9.505,163189,10.77,9.275,10,1109,10.31,9.505,163189,10.77,9.275,10,,
2023-03-14,9.605,9.745,140154,11.62,9.555,10.59,1050,9.605,9.745,140154,11.62,9.555,10.59,,
2023-03-15,10.51,10.23,47283,11.36,9.795,10.63,465,10.51,10.23,47283,11.36,9.795,10.63,,
2023-03-16,10.13,10.55,52160,12.39,10.04,11.02,527,10.13,10.55,52160,12.39,10.04,11.02,,
2023-03-17,9.765,10.76,41626,11.26,9.765,10.72,416,9.765,10.76,41626,11.26,9.765,10.72,,
2023-03-20,10.39,8.164,88621,10.52,7.804,8.514,991,10.39,8.164,88621,10.52,7.804,8.514,,
