Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.13,1.16,1480911,1.18,1.1,1.15,3573,1.13,1.16,1480911,1.18,1.1,1.15,,
2023-03-02,1.11,1.16,675908,1.21,1.1,1.166,2365,1.11,1.16,675908,1.21,1.1,1.166,,
2023-03-03,1.16,1.11,732368,1.19,1.1,1.125,2434,1.16,1.11,732368,1.19,1.1,1.125,,
2023-03-06,1.1,1.08,3434422,1.11,1.01,1.108,5667,1.1,1.08,3434422,1.11,1.01,1.108,,
2023-03-07,1.06,1.05,839000,1.09,0.9938,1.044,2603,1.06,1.05,839000,1.09,0.9938,1.044,,
2023-03-08,1.03,1.065,1138371,1.11,0.9219,1.041,3155,1.03,1.065,1138371,1.11,0.9219,1.041,,
2023-03-09,1.08,0.9584,696444,1.11,0.9498,0.9943,2876,1.08,0.9584,696444,1.11,0.9498,0.9943,,
2023-03-10,1,0.9006,677836,1.041,0.8961,0.9496,1906,1,0.9006,677836,1.041,0.8961,0.9496,,
2023-03-13,0.9505,1,667619,1.011,0.941,0.9762,3597,0.9505,1,667619,1.011,0.941,0.9762,,
2023-03-14,1.021,1.061,3023666,1.091,0.9905,1.277,6700,1.021,1.061,3023666,1.091,0.9905,1.277,,
2023-03-15,1.461,1.491,29224669,1.641,1.431,1.512,71276,1.461,1.491,29224669,1.641,1.431,1.512,,
2023-03-16,1.431,1.561,4395916,1.621,1.401,1.529,17233,1.431,1.561,4395916,1.621,1.401,1.529,,
2023-03-17,1.551,1.611,3176765,1.641,1.521,1.6,10360,1.551,1.611,3176765,1.641,1.521,1.6,,
2023-03-20,1.651,1.671,2124403,1.731,1.611,1.666,6387,1.651,1.671,2124403,1.731,1.611,1.666,,
2023-03-21,1.671,1.591,1138997,1.691,1.561,1.6,4051,1.671,1.591,1138997,1.691,1.561,1.6,,
2023-03-22,1.591,1.481,1874527,1.601,1.451,1.509,6211,1.591,1.481,1874527,1.601,1.451,1.509,,
2023-03-23,1.521,1.521,1291732,1.541,1.471,1.505,4661,1.521,1.521,1291732,1.541,1.471,1.505,,
2023-03-24,1.501,1.511,932337,1.521,1.456,1.492,3516,1.501,1.511,932337,1.521,1.456,1.492,,
2023-03-27,1.871,1.831,17890871,1.901,1.811,1.847,14980,1.871,1.831,17890871,1.901,1.811,1.847,,
2023-03-28,1.831,1.841,11209126,1.851,1.831,1.843,6564,1.831,1.841,11209126,1.851,1.831,1.843,,
2023-03-29,1.841,1.851,3380669,1.861,1.841,1.846,3712,1.841,1.851,3380669,1.861,1.841,1.846,,
2023-03-30,1.851,1.851,5376402,1.866,1.831,1.846,4772,1.851,1.851,5376402,1.866,1.831,1.846,,
2023-03-31,1.851,1.851,1047011,1.861,1.841,1.852,1887,1.851,1.851,1047011,1.861,1.841,1.852,,
