Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.904,0.8989,60652,0.93,0.85,0.8876,229,0.904,0.8989,60652,0.93,0.85,0.8876,,
2023-03-02,0.8801,0.9267,80141,0.9388,0.8701,0.8946,279,0.8801,0.9267,80141,0.9388,0.8701,0.8946,,
2023-03-03,0.92,0.8978,54814,0.9527,0.8978,0.9238,284,0.92,0.8978,54814,0.9527,0.8978,0.9238,,
2023-03-06,0.9231,0.909,17326,0.93,0.9001,0.9136,179,0.9231,0.909,17326,0.93,0.9001,0.9136,,
2023-03-07,0.8899,0.8976,14169,0.9,0.88,0.8909,155,0.8899,0.8976,14169,0.9,0.88,0.8909,,
2023-03-08,0.88,0.9197,26219,0.9198,0.8694,0.893,160,0.88,0.9197,26219,0.9198,0.8694,0.893,,
2023-03-09,0.9199,0.8799,29558,0.9199,0.8694,0.8878,147,0.9199,0.8799,29558,0.9199,0.8694,0.8878,,
2023-03-10,0.8684,0.8604,86339,0.9405,0.8504,0.8726,300,0.8684,0.8604,86339,0.9405,0.8504,0.8726,,
2023-03-13,0.8314,0.8015,158261,0.8557,0.7604,0.8114,396,0.8314,0.8015,158261,0.8557,0.7604,0.8114,,
2023-03-14,0.8012,0.8304,56303,0.9004,0.8012,0.8516,259,0.8012,0.8304,56303,0.9004,0.8012,0.8516,,
2023-03-15,0.8401,0.8304,33499,0.8603,0.8025,0.833,190,0.8401,0.8304,33499,0.8603,0.8025,0.833,,
2023-03-16,0.8007,0.8507,22835,0.8604,0.8007,0.8228,161,0.8007,0.8507,22835,0.8604,0.8007,0.8228,,
2023-03-17,0.8804,0.7428,304470,0.9805,0.6803,0.8287,727,0.8804,0.7428,304470,0.9805,0.6803,0.8287,,
2023-03-20,0.7504,0.7804,42935,0.8209,0.7504,0.7875,489,0.7504,0.7804,42935,0.8209,0.7504,0.7875,,
2023-03-21,0.7904,0.7754,37774,0.7904,0.7404,0.773,198,0.7904,0.7754,37774,0.7904,0.7404,0.773,,
2023-03-22,0.8304,0.7804,48165,0.8304,0.7753,0.799,219,0.8304,0.7804,48165,0.8304,0.7753,0.799,,
2023-03-23,0.7804,0.7804,46402,0.8204,0.7804,0.7966,252,0.7804,0.7804,46402,0.8204,0.7804,0.7966,,
2023-03-24,0.7604,0.7883,20007,0.8003,0.7511,0.7778,181,0.7604,0.7883,20007,0.8003,0.7511,0.7778,,
2023-03-27,0.7604,0.8104,28853,0.8504,0.7604,0.7951,184,0.7604,0.8104,28853,0.8504,0.7604,0.7951,,
2023-03-28,0.8604,0.7964,29635,0.8703,0.7804,0.8186,252,0.8604,0.7964,29635,0.8703,0.7804,0.8186,,
2023-03-29,0.775,0.8094,143015,0.8504,0.7407,0.8088,312,0.775,0.8094,143015,0.8504,0.7407,0.8088,,
2023-03-30,0.7903,0.8103,25894,0.8503,0.7903,0.8132,120,0.7903,0.8103,25894,0.8503,0.7903,0.8132,,
2023-03-31,0.8183,0.8003,24087,0.8403,0.7745,0.8098,220,0.8183,0.8003,24087,0.8403,0.7745,0.8098,,
