Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.08,10.1,308727,10.1,10.07,10.1,84,10.08,10.1,308727,10.1,10.07,10.1,,
2023-03-02,10.11,10.12,99503,10.12,10.08,10.09,38,10.11,10.12,99503,10.12,10.08,10.09,,
2023-03-07,10.1,10.1,85891,10.11,10.09,10.1,77,10.1,10.1,85891,10.11,10.09,10.1,,
2023-03-08,10.1,10.1,375166,10.11,10.1,10.1,50,10.1,10.1,375166,10.11,10.1,10.1,,
2023-03-09,10.11,10.11,4455,10.12,10.1,10.11,42,10.11,10.11,4455,10.12,10.1,10.11,,
2023-03-10,10.12,10.12,695634,10.13,10.12,10.12,51,10.12,10.12,695634,10.13,10.12,10.12,,
2023-03-13,10.12,10.12,23856,10.13,10.12,10.12,77,10.12,10.12,23856,10.13,10.12,10.12,,
2023-03-14,10.13,10.13,226372,10.13,10.13,10.13,47,10.13,10.13,226372,10.13,10.13,10.13,,
2023-03-15,10.14,10.13,257339,10.14,10.13,10.14,26,10.14,10.13,257339,10.14,10.13,10.14,,
2023-03-16,10.13,10.13,27984,10.14,10.13,10.13,58,10.13,10.13,27984,10.14,10.13,10.13,,
2023-03-17,10.13,10.13,332296,10.14,10.13,10.13,158,10.13,10.13,332296,10.14,10.13,10.13,,
2023-03-20,10.13,10.13,266913,10.14,10.13,10.13,175,10.13,10.13,266913,10.14,10.13,10.13,,
2023-03-21,10.13,10.14,288953,10.15,10.13,10.14,228,10.13,10.14,288953,10.15,10.13,10.14,,
2023-03-22,10.14,10.14,4307,10.14,10.14,10.14,31,10.14,10.14,4307,10.14,10.14,10.14,,
2023-03-23,10.14,10.14,1051851,10.15,10.13,10.14,226,10.14,10.14,1051851,10.15,10.13,10.14,,
2023-03-24,10.15,10.14,410178,10.16,10.14,10.14,370,10.15,10.14,410178,10.16,10.14,10.14,,
2023-03-27,10.16,10.15,4765169,10.17,10.15,10.16,1372,10.16,10.15,4765169,10.17,10.15,10.16,,
2023-03-28,10.15,10.17,418415,10.17,10.15,10.15,163,10.15,10.17,418415,10.17,10.15,10.15,,
2023-03-29,10.15,10.16,8262,10.16,10.15,10.15,14,10.15,10.16,8262,10.16,10.15,10.15,,
2023-03-30,10.14,10.15,437785,10.16,10.14,10.14,72,10.14,10.15,437785,10.16,10.14,10.14,,
2023-03-31,10.15,10.15,20735,10.15,10.15,10.15,15,10.15,10.15,20735,10.15,10.15,10.15,,
