Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.15,1.16,33176,1.17,1.096,1.133,223,1.15,1.16,33176,1.17,1.096,1.133,,
2023-03-02,1.17,1.11,43756,1.18,1.085,1.121,212,1.17,1.11,43756,1.18,1.085,1.121,,
2023-03-03,1.15,1.09,93089,1.15,1.07,1.109,310,1.15,1.09,93089,1.15,1.07,1.109,,
2023-03-06,1.1,1.08,36147,1.1,1.05,1.06,120,1.1,1.08,36147,1.1,1.05,1.06,,
2023-03-07,1.05,1.04,119183,1.12,1.02,1.047,420,1.05,1.04,119183,1.12,1.02,1.047,,
2023-03-08,1.07,1.02,125358,1.07,0.96,1.001,345,1.07,1.02,125358,1.07,0.96,1.001,,
2023-03-09,1.01,0.9699,467206,1.04,0.9698,1.009,420,1.01,0.9699,467206,1.04,0.9698,1.009,,
2023-03-10,1,0.9305,86380,1,0.9305,0.9666,315,1,0.9305,86380,1,0.9305,0.9666,,
2023-03-13,1,0.9155,175614,1,0.8706,0.9313,598,1,0.9155,175614,1,0.8706,0.9313,,
2023-03-14,0.9305,0.9305,168836,1.031,0.9305,0.9873,484,0.9305,0.9305,168836,1.031,0.9305,0.9873,,
2023-03-15,1,0.9198,184307,1,0.8804,0.9359,640,1,0.9198,184307,1,0.8804,0.9359,,
2023-03-16,0.8804,0.8704,321727,0.9625,0.8505,0.8897,964,0.8804,0.8704,321727,0.9625,0.8505,0.8897,,
2023-03-17,0.8804,0.9029,182084,0.9626,0.8604,0.8836,538,0.8804,0.9029,182084,0.9626,0.8604,0.8836,,
2023-03-20,0.8705,0.8609,204289,0.9605,0.8604,0.8823,725,0.8705,0.8609,204289,0.9605,0.8604,0.8823,,
2023-03-21,0.8604,0.8604,208576,0.9203,0.8014,0.8623,685,0.8604,0.8604,208576,0.9203,0.8014,0.8623,,
2023-03-22,0.8704,0.7704,484734,0.8704,0.7107,0.7818,1011,0.8704,0.7704,484734,0.8704,0.7107,0.7818,,
2023-03-23,0.7904,0.7404,171533,0.8454,0.7205,0.7694,454,0.7904,0.7404,171533,0.8454,0.7205,0.7694,,
2023-03-24,0.7182,0.6103,515468,0.7637,0.5903,0.6686,1047,0.7182,0.6103,515468,0.7637,0.5903,0.6686,,
2023-03-27,0.6503,0.6003,265370,0.7003,0.5503,0.629,502,0.6503,0.6003,265370,0.7003,0.5503,0.629,,
2023-03-28,0.6021,0.5403,198619,0.6026,0.5283,0.5632,615,0.6021,0.5403,198619,0.6026,0.5283,0.5632,,
2023-03-29,0.5503,0.4981,286594,0.5977,0.4502,0.5028,653,0.5503,0.4981,286594,0.5977,0.4502,0.5028,,
2023-03-30,0.5002,0.4801,254576,0.5202,0.4602,0.4838,513,0.5002,0.4801,254576,0.5202,0.4602,0.4838,,
2023-03-31,0.4665,0.4652,188135,0.48,0.4452,0.4541,550,0.4665,0.4652,188135,0.48,0.4452,0.4541,,
