Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.3,2.18,25933,2.3,2.16,2.197,384,2.3,2.18,25933,2.3,2.16,2.197,,
2023-03-02,2.14,2.22,49017,2.24,2.125,2.176,879,2.14,2.22,49017,2.24,2.125,2.176,,
2023-03-03,2.24,2.48,121727,2.52,2.12,2.33,1348,2.24,2.48,121727,2.52,2.12,2.33,,
2023-03-06,2.47,2.39,62099,2.55,2.31,2.382,853,2.47,2.39,62099,2.55,2.31,2.382,,
2023-03-07,2.44,2.34,92573,2.459,2.32,2.373,870,2.44,2.34,92573,2.459,2.32,2.373,,
2023-03-08,2.34,2.41,30795,2.435,2.34,2.394,485,2.34,2.41,30795,2.435,2.34,2.394,,
2023-03-09,2.4,2.3,70175,2.4,2.3,2.34,707,2.4,2.3,70175,2.4,2.3,2.34,,
2023-03-10,2.241,2.341,72522,2.401,2.202,2.34,552,2.241,2.341,72522,2.401,2.202,2.34,,
2023-03-13,2.311,2.471,78845,2.521,2.291,2.409,854,2.311,2.471,78845,2.521,2.291,2.409,,
2023-03-14,2.471,2.431,55846,2.521,2.376,2.46,653,2.471,2.431,55846,2.521,2.376,2.46,,
2023-03-15,2.361,2.421,48684,2.511,2.351,2.414,556,2.361,2.421,48684,2.511,2.351,2.414,,
2023-03-16,2.381,2.461,41892,2.501,2.361,2.452,889,2.381,2.461,41892,2.501,2.361,2.452,,
2023-03-17,2.451,2.821,306556,2.871,2.351,2.745,859,2.451,2.821,306556,2.871,2.351,2.745,,
2023-03-20,2.781,2.671,109159,2.906,2.601,2.702,1849,2.781,2.671,109159,2.906,2.601,2.702,,
2023-03-21,2.631,2.641,104479,2.706,2.521,2.584,2213,2.631,2.641,104479,2.706,2.521,2.584,,
2023-03-22,2.661,2.551,61868,2.666,2.531,2.551,1981,2.661,2.551,61868,2.666,2.531,2.551,,
2023-03-23,2.611,2.561,39099,2.685,2.501,2.564,880,2.611,2.561,39099,2.685,2.501,2.564,,
2023-03-24,2.551,2.541,54938,2.561,2.351,2.48,927,2.551,2.541,54938,2.561,2.351,2.48,,
2023-03-27,2.511,2.691,34499,2.721,2.501,2.656,504,2.511,2.691,34499,2.721,2.501,2.656,,
2023-03-28,2.681,2.771,73413,2.801,2.561,2.698,749,2.681,2.771,73413,2.801,2.561,2.698,,
2023-03-29,2.751,2.961,176534,2.981,2.751,2.888,1552,2.751,2.961,176534,2.981,2.751,2.888,,
2023-03-30,3.001,3.061,60548,3.111,2.951,3.056,506,3.001,3.061,60548,3.111,2.951,3.056,,
2023-03-31,3.011,3.091,166721,3.131,3.001,3.095,906,3.011,3.091,166721,3.131,3.001,3.095,,
