Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-03,10.3,10.3,11018,10.31,10.29,10.3,32,10.3,10.3,11018,10.31,10.29,10.3,,
2023-03-06,10.3,10.31,54293,10.32,10.3,10.31,34,10.3,10.31,54293,10.32,10.3,10.31,,
2023-03-07,10.31,10.31,26354,10.32,10.31,10.31,17,10.31,10.31,26354,10.32,10.31,10.31,,
2023-03-08,10.32,10.32,116879,10.33,10.32,10.32,184,10.32,10.32,116879,10.33,10.32,10.32,,
2023-03-09,10.38,10.33,362,10.38,10.33,10.34,4,10.38,10.33,362,10.38,10.33,10.34,,
2023-03-10,10.33,10.32,510517,10.33,10.32,10.33,18,10.33,10.32,510517,10.33,10.32,10.33,,
2023-03-13,10.32,10.33,3702,10.33,10.32,10.33,12,10.32,10.33,3702,10.33,10.32,10.33,,
2023-03-15,10.33,10.33,102,10.33,10.33,10.33,2,10.33,10.33,102,10.33,10.33,10.33,,
2023-03-16,10.33,10.33,1917,10.33,10.33,10.33,4,10.33,10.33,1917,10.33,10.33,10.33,,
2023-03-17,10.34,10.33,279,10.34,10.33,10.34,4,10.34,10.33,279,10.34,10.33,10.34,,
2023-03-20,10.35,10.35,1128,10.35,10.35,10.35,9,10.35,10.35,1128,10.35,10.35,10.35,,
2023-03-21,10.35,10.35,2592,10.35,10.35,10.35,12,10.35,10.35,2592,10.35,10.35,10.35,,
2023-03-22,10.34,10.34,104,10.34,10.34,10.34,3,10.34,10.34,104,10.34,10.34,10.34,,
2023-03-23,10.34,10.34,2736,10.34,10.34,10.34,7,10.34,10.34,2736,10.34,10.34,10.34,,
2023-03-24,10.34,10.34,100,10.34,10.34,10.34,1,10.34,10.34,100,10.34,10.34,10.34,,
2023-03-27,10.34,10.34,100,10.34,10.34,10.34,1,10.34,10.34,100,10.34,10.34,10.34,,
2023-03-28,10.37,10.34,6403,10.37,10.34,10.34,8,10.37,10.34,6403,10.37,10.34,10.34,,
2023-03-29,10.35,10.35,21911,10.35,10.34,10.34,62,10.35,10.35,21911,10.35,10.34,10.34,,
2023-03-30,10.33,10.33,100,10.33,10.33,10.33,1,10.33,10.33,100,10.33,10.33,10.33,,
