Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,17.77,17.75,4097,17.95,17.75,17.77,114,17.77,17.75,4097,17.95,17.75,17.77,,
2023-03-02,17.87,17.89,8248,17.99,17.75,17.87,124,17.87,17.89,8248,17.99,17.75,17.87,,
2023-03-03,17.94,17.88,4058,17.99,17.78,17.9,111,17.94,17.88,4058,17.99,17.78,17.9,,
2023-03-06,17.9,17.98,3143,17.98,17.9,17.9,56,17.9,17.98,3143,17.98,17.9,17.9,,
2023-03-07,17.54,17.67,5246,17.77,17.54,17.65,131,17.54,17.67,5246,17.77,17.54,17.65,,
2023-03-08,17.75,17.72,4849,17.75,17.65,17.72,102,17.75,17.72,4849,17.75,17.65,17.72,,
2023-03-09,17.41,16.99,4482,17.42,16.99,17.29,129,17.41,16.99,4482,17.42,16.99,17.29,,
2023-03-10,17.12,16.46,17923,17.12,16.31,16.63,231,17.12,16.46,17923,17.12,16.31,16.63,,
2023-03-13,16.2,16.08,8627,16.2,15.68,15.92,159,16.2,16.08,8627,16.2,15.68,15.92,,
2023-03-14,16.15,15.77,7942,16.41,15.77,16.1,103,16.15,15.77,7942,16.41,15.77,16.1,,
2023-03-15,15.63,15.48,20807,15.7,15.46,15.56,187,15.63,15.48,20807,15.7,15.46,15.56,,
2023-03-16,15.48,16.19,5569,16.2,15.48,15.76,124,15.48,16.19,5569,16.2,15.48,15.76,,
2023-03-17,15.78,15.62,3704,15.97,15.46,15.71,76,15.78,15.62,3704,15.97,15.46,15.71,,
2023-03-20,15.67,15.41,15744,16.03,15.12,15.52,398,15.67,15.41,15744,16.03,15.12,15.52,,
2023-03-21,15.91,15.96,16633,16.23,15.91,16.07,282,15.91,15.96,16633,16.23,15.91,16.07,,
2023-03-22,16.01,15.72,52564,16.01,15.68,16,200,16.01,15.72,52564,16.01,15.68,16,,
2023-03-23,15.63,15.6,27862,15.88,15.6,15.8,257,15.63,15.6,27862,15.88,15.6,15.8,,
2023-03-24,15.41,15.4,4590,15.51,15.22,15.41,166,15.41,15.4,4590,15.51,15.22,15.41,,
2023-03-27,15.61,15.43,2063,15.61,15.43,15.55,43,15.61,15.43,2063,15.61,15.43,15.55,,
2023-03-28,15.23,15.57,1925,15.57,15.23,15.57,73,15.23,15.57,1925,15.57,15.23,15.57,,
2023-03-29,15.88,15.76,692,15.88,15.64,15.65,15,15.88,15.76,692,15.88,15.64,15.65,,
2023-03-30,15.75,15.75,275,15.75,15.75,15.49,19,15.75,15.75,275,15.75,15.75,15.49,,
2023-03-31,15.7,15.21,121598,15.7,15.06,15.12,184,15.7,15.21,121598,15.7,15.06,15.12,,
