Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7,7.02,278860,7.12,6.84,7.012,4248,7,7.02,278860,7.12,6.84,7.012,,
2023-03-02,6.96,6.73,573585,7.07,6.68,6.769,5636,6.96,6.73,573585,7.07,6.68,6.769,,
2023-03-03,6.84,6.67,302217,6.99,6.59,6.73,4965,6.84,6.67,302217,6.99,6.59,6.73,,
2023-03-06,6.68,7.08,268358,7.1,6.58,6.896,5018,6.68,7.08,268358,7.1,6.58,6.896,,
2023-03-07,7.09,7.04,434624,7.17,6.75,7.004,5987,7.09,7.04,434624,7.17,6.75,7.004,,
2023-03-08,6.129,7.414,787762,7.419,6.109,6.941,8701,6.129,7.414,787762,7.419,6.109,6.941,,
2023-03-09,7.419,7.199,384117,7.549,7.159,7.293,7143,7.419,7.199,384117,7.549,7.159,7.293,,
2023-03-10,7.134,6.363,518435,7.17,6.313,6.553,7013,7.134,6.363,518435,7.17,6.313,6.553,,
2023-03-13,6.353,6.523,341669,6.553,6.123,6.439,6205,6.353,6.523,341669,6.553,6.123,6.439,,
2023-03-14,6.663,6.983,1120484,7.254,6.403,7.029,9261,6.663,6.983,1120484,7.254,6.403,7.029,,
2023-03-15,6.883,6.623,368322,6.883,6.553,6.686,5820,6.883,6.623,368322,6.883,6.553,6.686,,
2023-03-16,6.573,6.903,286815,6.943,6.213,6.742,6265,6.573,6.903,286815,6.943,6.213,6.742,,
2023-03-17,6.753,6.793,412742,6.993,6.663,6.783,6484,6.753,6.793,412742,6.993,6.663,6.783,,
2023-03-20,6.783,6.833,508483,6.833,6.508,6.76,5812,6.783,6.833,508483,6.833,6.508,6.76,,
2023-03-21,6.863,6.243,751123,6.864,6.243,6.539,6681,6.863,6.243,751123,6.864,6.243,6.539,,
2023-03-22,6.243,6.003,612879,6.393,5.853,6.118,9211,6.243,6.003,612879,6.393,5.853,6.118,,
2023-03-23,6.073,6.183,414892,6.298,5.983,6.195,5913,6.073,6.183,414892,6.298,5.983,6.195,,
2023-03-24,6.163,6.203,211713,6.293,6.028,6.188,4669,6.163,6.203,211713,6.293,6.028,6.188,,
2023-03-27,6.263,6.263,197830,6.273,6.123,6.25,4142,6.263,6.263,197830,6.273,6.123,6.25,,
2023-03-28,6.253,6.243,241838,6.283,6.193,6.248,4313,6.253,6.243,241838,6.283,6.193,6.248,,
2023-03-29,6.323,6.973,497290,7.114,6.323,6.906,5901,6.323,6.973,497290,7.114,6.323,6.906,,
2023-03-30,7.023,6.993,467193,7.123,6.933,7.04,7150,7.023,6.993,467193,7.123,6.933,7.04,,
2023-03-31,7.013,6.903,683813,7.223,6.863,7.051,5340,7.013,6.903,683813,7.223,6.863,7.051,,
