Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.39,10.34,74500,10.39,10.34,10.36,62,10.39,10.34,74500,10.39,10.34,10.36,,
2023-03-02,10.38,10.38,285908,10.39,10.37,10.38,181,10.38,10.38,285908,10.39,10.37,10.38,,
2023-03-03,10.38,10.37,327,10.38,10.37,10.38,4,10.38,10.37,327,10.38,10.37,10.38,,
2023-03-06,10.38,10.37,67096,10.38,10.37,10.38,31,10.38,10.37,67096,10.38,10.37,10.38,,
2023-03-07,10.38,10.38,2309307,10.39,10.38,10.39,35,10.38,10.38,2309307,10.39,10.38,10.39,,
2023-03-08,10.38,10.39,95463,10.4,10.38,10.38,67,10.38,10.39,95463,10.4,10.38,10.38,,
2023-03-09,10.38,10.38,883,10.39,10.38,10.38,14,10.38,10.38,883,10.39,10.38,10.38,,
2023-03-10,10.39,10.39,42083,10.41,10.39,10.4,34,10.39,10.39,42083,10.41,10.39,10.4,,
2023-03-13,10.41,10.39,1907,10.41,10.39,10.39,8,10.41,10.39,1907,10.41,10.39,10.39,,
2023-03-14,10.39,10.4,655550,10.4,10.39,10.4,14,10.39,10.4,655550,10.4,10.39,10.4,,
2023-03-15,10.39,10.4,144802,10.4,10.39,10.4,131,10.39,10.4,144802,10.4,10.39,10.4,,
2023-03-16,10.44,10.4,854083,10.45,10.4,10.4,8,10.44,10.4,854083,10.45,10.4,10.4,,
2023-03-17,10.42,10.41,1847,10.42,10.41,10.41,15,10.42,10.41,1847,10.42,10.41,10.41,,
2023-03-20,10.4,10.44,33462,10.76,10.4,10.51,142,10.4,10.44,33462,10.76,10.4,10.51,,
2023-03-21,10.49,10.42,993764,10.56,10.41,10.42,156,10.49,10.42,993764,10.56,10.41,10.42,,
2023-03-22,10.41,10.41,312,10.41,10.41,10.41,4,10.41,10.41,312,10.41,10.41,10.41,,
2023-03-23,10.41,10.44,419,10.44,10.41,10.42,7,10.41,10.44,419,10.44,10.41,10.42,,
2023-03-24,10.43,10.41,602701,10.43,10.41,10.42,9,10.43,10.41,602701,10.43,10.41,10.42,,
2023-03-27,10.41,10.43,41138,10.43,10.41,10.43,31,10.41,10.43,41138,10.43,10.41,10.43,,
2023-03-28,10.43,10.44,155278,10.44,10.42,10.43,13,10.43,10.44,155278,10.44,10.42,10.43,,
2023-03-29,10.44,10.43,60588,10.51,10.43,10.45,254,10.44,10.43,60588,10.51,10.43,10.45,,
2023-03-30,10.42,10.45,651,10.45,10.42,10.43,3,10.42,10.45,651,10.45,10.42,10.43,,
2023-03-31,10.42,10.44,3043,10.45,10.42,10.43,16,10.42,10.44,3043,10.45,10.42,10.43,,
