Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,6.74,6.72,36087,6.79,6.72,6.753,310,5.903,5.885,36087,5.947,5.885,5.914,,
2023-03-02,6.76,6.66,151438,6.76,6.56,6.637,699,5.92,5.833,151438,5.92,5.745,5.813,,
2023-03-03,6.66,6.71,39892,6.73,6.62,6.664,386,5.833,5.877,39892,5.894,5.798,5.836,,
2023-03-06,6.78,6.7,107974,6.8,6.65,6.716,703,5.938,5.868,107974,5.955,5.824,5.882,,
2023-03-07,6.73,6.67,60892,6.73,6.65,6.684,371,5.894,5.841,60892,5.894,5.824,5.854,,
2023-03-08,6.649,6.709,32034,6.709,6.649,6.688,350,5.823,5.876,32034,5.876,5.823,5.857,,
2023-03-09,6.729,6.659,26915,6.729,6.649,6.698,375,5.893,5.832,26915,5.893,5.823,5.866,,
2023-03-10,6.643,6.513,87776,6.643,6.504,6.572,679,5.818,5.704,87776,5.818,5.696,5.756,,
2023-03-13,6.503,6.363,60909,6.503,6.323,6.385,546,5.695,5.573,60909,5.695,5.538,5.592,,
2023-03-14,6.363,6.433,56114,6.483,6.363,6.445,402,5.573,5.634,56114,5.678,5.573,5.644,,
2023-03-15,6.383,6.323,64527,6.403,6.293,6.344,521,5.59,5.538,64527,5.608,5.511,5.556,,
2023-03-16,6.323,6.373,48037,6.423,6.273,6.362,383,5.538,5.581,48037,5.625,5.494,5.572,,
2023-03-17,6.323,6.263,72307,6.373,6.253,6.303,297,5.538,5.485,72307,5.581,5.476,5.52,,
2023-03-20,6.263,6.243,74526,6.333,6.243,6.29,483,5.485,5.468,74526,5.546,5.468,5.509,,
2023-03-21,6.243,6.233,42063,6.297,6.208,6.256,310,5.521,5.512,42063,5.569,5.49,5.532,0.0604,
2023-03-22,6.303,6.223,43201,6.306,6.203,6.254,364,5.574,5.503,43201,5.577,5.486,5.531,,
2023-03-23,6.233,6.203,67573,6.283,6.203,6.241,340,5.512,5.486,67573,5.556,5.486,5.519,,
2023-03-24,6.203,6.273,57670,6.273,6.193,6.23,328,5.486,5.547,57670,5.547,5.477,5.509,,
2023-03-27,6.273,6.293,96678,6.502,6.203,6.362,477,5.547,5.565,96678,5.75,5.486,5.626,,
2023-03-28,6.313,6.343,87543,6.353,6.264,6.322,451,5.583,5.609,87543,5.618,5.54,5.591,,
2023-03-29,6.343,6.393,41863,6.423,6.325,6.381,237,5.609,5.654,41863,5.68,5.593,5.643,,
2023-03-30,6.403,6.423,80483,6.423,6.333,6.376,273,5.662,5.68,80483,5.68,5.601,5.639,,
2023-03-31,6.473,6.503,118027,6.503,6.353,6.434,531,5.724,5.751,118027,5.751,5.618,5.69,,
