Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7.44,7.6,537583,7.73,7.35,7.599,5712,7.44,7.6,537583,7.73,7.35,7.599,,
2023-03-02,7.57,7.65,341300,7.745,7.42,7.634,4650,7.57,7.65,341300,7.745,7.42,7.634,,
2023-03-03,7.69,7.63,368346,7.77,7.55,7.656,3705,7.69,7.63,368346,7.77,7.55,7.656,,
2023-03-06,7.6,7.85,455602,7.98,7.5,7.816,4565,7.6,7.85,455602,7.98,7.5,7.816,,
2023-03-07,7.89,7.72,330369,7.96,7.61,7.755,3449,7.89,7.72,330369,7.96,7.61,7.755,,
2023-03-08,7.709,7.519,555218,7.709,7.489,7.527,4452,7.709,7.519,555218,7.709,7.489,7.527,,
2023-03-09,7.569,7.349,685282,7.569,7.209,7.332,6110,7.569,7.349,685282,7.569,7.209,7.332,,
2023-03-10,7.334,7.254,832018,7.549,7.094,7.264,9660,7.334,7.254,832018,7.549,7.094,7.264,,
2023-03-13,7.154,7.804,848444,8.054,7.154,7.79,10662,7.154,7.804,848444,8.054,7.154,7.79,,
2023-03-14,7.934,7.874,671507,8.084,7.704,7.879,7849,7.934,7.874,671507,8.084,7.704,7.879,,
2023-03-15,7.684,7.614,600857,7.764,7.304,7.604,7901,7.684,7.614,600857,7.764,7.304,7.604,,
2023-03-16,7.574,7.654,347685,7.784,7.344,7.653,5627,7.574,7.654,347685,7.784,7.344,7.653,,
2023-03-17,7.584,7.494,2064260,7.654,7.254,7.505,7522,7.584,7.494,2064260,7.654,7.254,7.505,,
2023-03-20,7.574,7.384,405501,7.589,7.294,7.426,5510,7.574,7.384,405501,7.589,7.294,7.426,,
2023-03-21,7.414,7.284,376190,7.544,7.254,7.332,4010,7.414,7.284,376190,7.544,7.254,7.332,,
2023-03-22,7.254,6.853,728610,7.374,6.823,7.001,7514,7.254,6.853,728610,7.374,6.823,7.001,,
2023-03-23,7.044,6.843,546633,7.204,6.743,6.881,5396,7.044,6.843,546633,7.204,6.743,6.881,,
2023-03-24,7.264,6.813,412250,7.264,6.583,6.821,3718,7.264,6.813,412250,7.264,6.583,6.821,,
2023-03-27,6.993,7.003,460278,7.194,6.818,7.022,5344,6.993,7.003,460278,7.194,6.818,7.022,,
2023-03-28,6.933,6.783,563040,7.194,6.743,6.941,6256,6.933,6.783,563040,7.194,6.743,6.941,,
2023-03-29,6.873,7.224,522751,7.309,6.853,7.197,6195,6.873,7.224,522751,7.309,6.853,7.197,,
2023-03-30,7.223,6.943,837045,7.303,6.713,6.905,8419,7.223,6.943,837045,7.303,6.713,6.905,,
2023-03-31,6.953,7.273,838040,7.403,6.953,7.254,7315,6.953,7.273,838040,7.403,6.953,7.254,,
