Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.32,10.32,50700,10.33,10.32,10.33,9,10.32,10.32,50700,10.33,10.32,10.33,,
2023-03-02,10.32,10.33,102795,10.33,10.32,10.32,19,10.32,10.33,102795,10.33,10.32,10.32,,
2023-03-06,10.33,10.33,109197,10.33,10.33,10.33,97,10.33,10.33,109197,10.33,10.33,10.33,,
2023-03-07,10.33,10.33,20650,10.33,10.32,10.33,9,10.33,10.33,20650,10.33,10.32,10.33,,
2023-03-08,10.33,10.35,20913,10.35,10.33,10.34,50,10.33,10.35,20913,10.35,10.33,10.34,,
2023-03-09,10.34,10.35,16449,10.42,10.34,10.37,92,10.34,10.35,16449,10.42,10.34,10.37,,
2023-03-10,10.36,10.34,17638,10.41,10.34,10.37,48,10.36,10.34,17638,10.41,10.34,10.37,,
2023-03-13,10.46,10.34,1625,10.46,10.34,10.35,16,10.46,10.34,1625,10.46,10.34,10.35,,
2023-03-14,10.35,10.34,380694,10.36,10.34,10.36,21,10.35,10.34,380694,10.36,10.34,10.36,,
2023-03-15,10.35,10.34,1826,10.35,10.34,10.34,15,10.35,10.34,1826,10.35,10.34,10.34,,
2023-03-16,10.35,10.34,16919,10.35,10.34,10.34,121,10.35,10.34,16919,10.35,10.34,10.34,,
2023-03-17,10.36,10.34,14641,10.46,10.34,10.36,74,10.36,10.34,14641,10.46,10.34,10.36,,
2023-03-20,10.44,10.39,320,10.44,10.39,10.4,3,10.44,10.39,320,10.44,10.39,10.4,,
2023-03-21,10.39,10.35,3456,10.39,10.35,10.38,16,10.39,10.35,3456,10.39,10.35,10.38,,
2023-03-24,10.38,10.38,100,10.38,10.38,10.38,1,10.38,10.38,100,10.38,10.38,10.38,,
2023-03-27,10.37,10.37,101,10.37,10.37,10.37,2,10.37,10.37,101,10.37,10.37,10.37,,
2023-03-28,10.36,10.38,9593,10.38,10.36,10.37,44,10.36,10.38,9593,10.38,10.36,10.37,,
2023-03-29,10.37,10.36,34284,10.38,10.36,10.37,60,10.37,10.36,34284,10.38,10.36,10.37,,
2023-03-30,10.35,10.35,15766,10.35,10.35,10.35,1,10.35,10.35,15766,10.35,10.35,10.35,,
2023-03-31,10.4,10.4,200,10.4,10.4,10.4,2,10.4,10.4,200,10.4,10.4,10.4,,
