Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.8,0.7275,647479,0.81,0.7275,0.7688,2137,3072,2793.6,169,3110.4,2793.6,2952.19,,
2023-03-02,0.7,0.697,663550,0.735,0.6801,0.7037,2641,2688,2676.48,173,2822.4,2611.58,2702.21,,
2023-03-03,0.7139,0.7101,450085,0.7316,0.69,0.7052,2295,2741.38,2726.78,117,2809.34,2649.6,2707.97,,
2023-03-06,0.7,0.666,1129964,0.71,0.655,0.6729,3479,2688,2557.44,294,2726.4,2515.2,2583.94,,
2023-03-07,0.68,0.6325,1110442,0.6899,0.61,0.6337,3057,2611.2,2428.8,289,2649.22,2342.4,2433.41,,
2023-03-08,0.6299,0.6099,554326,0.6399,0.6099,0.6169,1348,2418.82,2342.02,144,2457.22,2342.02,2368.9,,
2023-03-09,0.6399,0.5899,757717,0.6399,0.5801,0.5989,2067,2457.22,2265.22,197,2457.22,2227.58,2299.78,,
2023-03-10,0.5803,0.6603,1411334,0.6634,0.5803,0.6164,3312,2228.35,2535.55,368,2547.46,2228.35,2366.98,,
2023-03-13,0.6603,0.6428,746442,0.6669,0.6103,0.6394,2361,2535.55,2468.35,194,2560.9,2343.55,2455.3,,
2023-03-14,0.6503,0.6924,563464,0.7053,0.6304,0.6625,2084,2497.15,2658.82,147,2708.35,2420.74,2544,,
2023-03-15,0.7003,0.6253,779735,0.7103,0.6241,0.6677,2381,2689.15,2401.15,203,2727.55,2396.54,2563.97,,
2023-03-16,0.6603,0.6803,627067,0.7003,0.6428,0.6786,2943,2535.55,2612.35,163,2689.15,2468.35,2605.82,,
2023-03-17,0.7003,0.6629,476029,0.7003,0.6629,0.6752,1163,2689.15,2545.54,124,2689.15,2545.54,2592.77,,
2023-03-20,0.6783,0.6903,673285,0.6903,0.6491,0.672,2321,2604.67,2650.75,175,2650.75,2492.54,2580.48,,
2023-03-21,0.7104,0.7204,936117,0.7354,0.676,0.7082,2557,2727.94,2766.34,244,2823.94,2595.84,2719.49,,
2023-03-22,0.7304,0.6778,647248,0.7404,0.6753,0.7135,1307,2804.74,2602.75,169,2843.14,2593.15,2739.84,,
2023-03-23,0.7104,0.6922,412994,0.7204,0.6603,0.6893,1218,2727.94,2658.05,108,2766.34,2535.55,2646.91,,
2023-03-24,0.6964,0.6801,553902,0.7104,0.6656,0.6904,1621,2674.18,2611.58,144,2727.94,2555.9,2651.14,,
2023-03-27,0.6803,0.6836,422373,0.7002,0.6652,0.6802,1115,2612.35,2625.02,110,2688.77,2554.37,2611.97,,
2023-03-28,0.6798,0.7003,235107,0.7003,0.6703,0.6831,1081,2610.43,2689.15,61,2689.15,2573.95,2623.1,,
2023-03-29,0.7054,0.7154,453880,0.7304,0.6803,0.712,1240,2708.74,2747.14,118,2804.74,2612.35,2734.08,,
2023-03-30,0.7203,0.6923,391965,0.7303,0.6903,0.7023,944,2765.95,2658.43,102,2804.35,2650.75,2696.83,,
2023-03-31,0.7003,0.6915,305202,0.715,0.6703,0.695,845,2689.15,2655.36,79,2745.6,2573.95,2668.8,,
