Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.12,25.17,17762,25.25,25.12,25.19,388,24.63,24.68,17762,24.75,24.63,24.7,,
2023-03-02,25.17,25.18,23278,25.2,25.13,25.17,382,24.68,24.69,23278,24.71,24.64,24.68,,
2023-03-03,25.18,25.17,33953,25.2,25.15,25.19,319,24.69,24.68,33953,24.71,24.66,24.7,,
2023-03-06,25.15,25.2,25222,25.22,25.15,25.19,334,24.66,24.71,25222,24.73,24.66,24.7,,
2023-03-07,25.15,25.2,26090,25.23,25.15,25.2,380,24.66,24.71,26090,24.74,24.66,24.71,,
2023-03-08,25.2,25.21,68637,25.23,25.2,25.2,359,24.71,24.72,68637,24.74,24.71,24.71,,
2023-03-09,25.14,25.2,113024,25.25,25.14,25.21,868,24.65,24.71,113024,24.75,24.65,24.72,,
2023-03-10,25.19,25.24,51349,25.27,25.19,25.22,656,24.7,24.75,51349,24.77,24.7,24.73,,
2023-03-13,25.19,25.16,67943,25.19,25.11,25.16,746,24.7,24.67,67943,24.7,24.62,24.67,,
2023-03-14,25.16,25.16,27705,25.19,25.16,25.17,517,24.67,24.67,27705,24.7,24.67,24.68,,
2023-03-15,25.11,25.11,44915,25.13,24.98,25.11,786,24.62,24.62,44915,24.64,24.49,24.62,,
2023-03-16,25.01,25.16,48658,25.16,24.92,25.07,502,24.52,24.67,48658,24.67,24.43,24.58,,
2023-03-17,25.17,25.14,65238,25.17,25.07,25.09,707,24.68,24.65,65238,24.68,24.58,24.6,,
2023-03-20,25.04,25.07,46462,25.13,25.04,25.1,260,24.55,24.58,46462,24.64,24.55,24.61,,
2023-03-21,25.09,25.15,23276,25.2,25.09,25.16,236,24.6,24.66,23276,24.71,24.6,24.67,,
2023-03-22,25.08,25.13,16723,25.17,25.08,25.14,218,24.59,24.64,16723,24.68,24.59,24.65,,
2023-03-23,25.11,25.13,19318,25.14,25.11,25.13,215,24.62,24.64,19318,24.65,24.62,24.64,,
2023-03-24,25.01,25.15,21147,25.16,25.01,25.13,238,24.52,24.66,21147,24.67,24.52,24.64,,
2023-03-27,25.12,25.11,15986,25.12,25.09,25.11,155,24.63,24.62,15986,24.63,24.6,24.62,,
2023-03-28,25.11,25.11,8842,25.12,25.11,25.11,105,24.62,24.62,8842,24.63,24.62,24.62,,
2023-03-29,25.16,25.12,22091,25.16,25.11,25.12,162,24.67,24.63,22091,24.67,24.62,24.63,,
2023-03-30,25.16,25.14,17303,25.16,25.12,25.14,168,24.67,24.65,17303,24.67,24.63,24.65,,
2023-03-31,25.11,25.13,62456,25.16,25.11,25.15,302,24.62,24.64,62456,24.67,24.62,24.66,,
