Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.35,10.36,251520,10.36,10.34,10.36,20,10.35,10.36,251520,10.36,10.34,10.36,,
2023-03-02,10.36,10.36,1311,10.36,10.35,10.35,12,10.36,10.36,1311,10.36,10.35,10.35,,
2023-03-06,10.36,10.37,3020,10.37,10.36,10.37,15,10.36,10.37,3020,10.37,10.36,10.37,,
2023-03-07,10.37,10.37,245,10.37,10.37,10.36,14,10.37,10.37,245,10.37,10.37,10.36,,
2023-03-08,10.37,10.37,320,10.37,10.37,10.37,15,10.37,10.37,320,10.37,10.37,10.37,,
2023-03-09,10.34,10.36,1965,10.36,10.34,10.34,24,10.34,10.36,1965,10.36,10.34,10.34,,
2023-03-13,10.38,10.37,29485,10.39,10.35,10.37,134,10.38,10.37,29485,10.39,10.35,10.37,,
2023-03-14,10.36,10.36,3526,10.36,10.36,10.55,46,10.36,10.36,3526,10.36,10.36,10.55,,
2023-03-15,10.36,10.37,1519,10.38,10.36,10.36,10,10.36,10.37,1519,10.38,10.36,10.36,,
2023-03-16,10.36,10.37,841,10.37,10.36,10.37,29,10.36,10.37,841,10.37,10.36,10.37,,
2023-03-17,10.37,10.37,1705,10.37,10.37,10.37,7,10.37,10.37,1705,10.37,10.37,10.37,,
2023-03-20,10.38,10.38,723,10.38,10.38,10.38,8,10.38,10.38,723,10.38,10.38,10.38,,
2023-03-28,10.41,10.41,411,10.41,10.41,10.43,27,10.41,10.41,411,10.41,10.41,10.43,,
2023-03-29,10.39,10.39,439,10.39,10.39,10.39,15,10.39,10.39,439,10.39,10.39,10.39,,
2023-03-30,10.46,10.4,700,10.46,10.4,10.42,5,10.46,10.4,700,10.46,10.4,10.42,,
2023-03-31,10.38,10.38,203,10.38,10.38,10.41,13,10.38,10.38,203,10.38,10.38,10.41,,
