Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,99.16,102,1078651,103.06,98.62,101.58,21833,99.16,102,1078651,103.06,98.62,101.58,,
2023-03-02,100.06,98.37,1319881,100.93,95.1,97.13,21783,100.06,98.37,1319881,100.93,95.1,97.13,,
2023-03-03,98.48,97.83,996956,100,95.52,97.68,18044,98.48,97.83,996956,100,95.52,97.68,,
2023-03-06,98.85,98.3,826630,99.98,96.87,98.4,16445,98.85,98.3,826630,99.98,96.87,98.4,,
2023-03-07,98.55,98.51,966455,100.75,97.02,98.58,16815,98.55,98.51,966455,100.75,97.02,98.58,,
2023-03-08,98.74,102.34,1460899,103.65,98.11,101.94,23842,98.74,102.34,1460899,103.65,98.11,101.94,,
2023-03-09,102.49,98.55,1164944,104.29,98.15,100.95,18965,102.49,98.55,1164944,104.29,98.15,100.95,,
2023-03-10,98.06,92.81,1734204,98.06,92.14,94.52,27094,98.06,92.81,1734204,98.06,92.14,94.52,,
2023-03-13,91.05,89.32,1283204,92.42,88.6,90.47,22732,91.05,89.32,1283204,92.42,88.6,90.47,,
2023-03-14,91.89,92.52,1067829,94.65,91.32,93.1,19742,91.89,92.52,1067829,94.65,91.32,93.1,,
2023-03-15,89.4,91.8,1243950,91.87,87.29,89.54,22043,89.4,91.8,1243950,91.87,87.29,89.54,,
2023-03-16,90.11,97.28,1546163,97.32,90.11,95.05,30186,90.11,97.28,1546163,97.32,90.11,95.05,,
2023-03-17,96.9,95.55,1826495,98.09,94.12,95.59,24517,96.9,95.55,1826495,98.09,94.12,95.59,,
2023-03-20,95.54,98.57,1541624,100.26,95.46,98.58,24792,95.54,98.57,1541624,100.26,95.46,98.58,,
2023-03-21,100.04,108.3,2036213,108.4,100.04,105.37,33896,100.04,108.3,2036213,108.4,100.04,105.37,,
2023-03-22,108.9,112.6,2451118,116.33,108.42,112.86,41306,108.9,112.6,2451118,116.33,108.42,112.86,,
2023-03-23,114.06,114.06,2063012,118.42,111.81,115.55,35634,114.06,114.06,2063012,118.42,111.81,115.55,,
2023-03-24,112.88,110.89,1832876,113.13,106.19,109.42,31710,112.88,110.89,1832876,113.13,106.19,109.42,,
2023-03-27,112.01,110.96,1769777,113.66,109.94,111.81,31392,112.01,110.96,1769777,113.66,109.94,111.81,,
2023-03-28,110.47,102.83,2077110,111.11,101.49,104.13,38706,110.47,102.83,2077110,111.11,101.49,104.13,,
2023-03-29,104.6,105.7,1383337,105.93,102.57,104.43,24478,104.6,105.7,1383337,105.93,102.57,104.43,,
2023-03-30,107.36,103.38,1286166,107.36,101.35,103.73,23033,107.36,103.38,1286166,107.36,101.35,103.73,,
2023-03-31,103.6,106.59,1256530,107.79,103.23,106.28,21909,103.6,106.59,1256530,107.79,103.23,106.28,,
