Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.84,23.1,9553,23.3,22.84,23.15,502,21.55,21.79,9553,21.98,21.55,21.84,,
2023-03-02,23.16,22.85,11749,23.16,22.82,22.94,521,21.85,21.56,11749,21.85,21.53,21.64,,
2023-03-03,23.21,22.53,14328,23.21,22.4,22.73,405,21.9,21.26,14328,21.9,21.13,21.44,,
2023-03-06,22.49,22.5,12940,22.6,22.41,22.49,457,21.22,21.23,12940,21.32,21.14,21.22,,
2023-03-07,22.19,22.17,12519,22.38,21.84,22.18,491,20.94,20.92,12519,21.11,20.6,20.93,,
2023-03-08,22.13,22.06,18653,22.13,21.86,22.01,542,20.88,20.81,18653,20.88,20.62,20.77,,
2023-03-09,21.77,21.35,21546,21.81,21.21,21.48,654,20.54,20.14,21546,20.58,20.01,20.27,,
2023-03-10,21.18,20.32,52037,21.18,19.99,20.27,1167,19.98,19.17,52037,19.98,18.86,19.12,,
2023-03-13,19.83,19.21,27874,19.83,18.44,19.06,772,18.71,18.12,27874,18.71,17.4,17.98,,
2023-03-14,19.81,19.42,39486,20.38,19.3,19.79,964,18.69,18.32,39486,19.23,18.21,18.67,,
2023-03-15,19.32,19.39,48460,19.59,18.89,19.17,1014,18.23,18.29,48460,18.48,17.82,18.09,,
2023-03-16,19.01,20.38,53151,20.65,18.92,19.74,797,17.94,19.23,53151,19.48,17.85,18.62,,
2023-03-17,20.12,19.54,50894,20.12,19.54,19.83,949,18.98,18.44,50894,18.98,18.44,18.71,,
2023-03-20,19.75,19.59,36471,19.97,19.37,19.7,780,18.63,18.48,36471,18.84,18.27,18.59,,
2023-03-21,19.81,20.11,31169,20.48,19.71,20.02,1026,18.69,18.97,31169,19.32,18.6,18.89,,
2023-03-22,20.07,19.15,41032,20.2,19.15,19.77,869,18.94,18.07,41032,19.06,18.07,18.65,,
2023-03-23,19.34,18.8,36114,19.46,18.38,18.94,912,18.25,17.74,36114,18.36,17.34,17.87,,
2023-03-24,18.68,19.27,37404,19.36,18.46,18.98,1141,17.62,18.18,37404,18.27,17.42,17.91,,
2023-03-27,19.47,19.37,12262,19.87,19.27,19.53,439,18.37,18.27,12262,18.75,18.18,18.43,,
2023-03-28,19.39,19.66,14868,19.8,19.39,19.61,423,18.29,18.55,14868,18.68,18.29,18.5,,
2023-03-29,19.61,19.64,35485,19.75,19.28,19.56,617,18.5,18.53,35485,18.63,18.19,18.45,,
2023-03-30,19.67,19.39,6331,19.67,19.39,19.53,490,18.56,18.29,6331,18.56,18.29,18.43,,
2023-03-31,19.34,19.32,20790,19.48,19.19,19.37,599,18.25,18.23,20790,18.38,18.1,18.27,,
