Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3.79,3.62,21973,3.793,3.6,3.655,480,3.79,3.62,21973,3.793,3.6,3.655,,
2023-03-02,3.61,3.79,34905,3.89,3.58,3.693,505,3.61,3.79,34905,3.89,3.58,3.693,,
2023-03-03,3.88,4.02,42441,4.03,3.64,3.877,320,3.88,4.02,42441,4.03,3.64,3.877,,
2023-03-06,4.1,4.16,37132,4.26,4.08,4.148,535,4.1,4.16,37132,4.26,4.08,4.148,,
2023-03-07,4.21,4.2,16200,4.253,4.15,4.203,290,4.21,4.2,16200,4.253,4.15,4.203,,
2023-03-08,4.2,4.25,14730,4.25,4.16,4.232,452,4.2,4.25,14730,4.25,4.16,4.232,,
2023-03-09,4.24,4.1,18679,4.24,4.05,4.14,299,4.24,4.1,18679,4.24,4.05,4.14,,
2023-03-10,4.082,3.792,24810,4.082,3.782,3.874,415,4.082,3.792,24810,4.082,3.782,3.874,,
2023-03-13,3.792,3.962,14367,4.042,3.702,3.963,338,3.792,3.962,14367,4.042,3.702,3.963,,
2023-03-14,4.092,4.112,32170,4.267,4.022,4.133,540,4.092,4.112,32170,4.267,4.022,4.133,,
2023-03-15,4.068,4.012,26273,4.102,3.967,4.03,402,4.068,4.012,26273,4.102,3.967,4.03,,
2023-03-16,4.022,4.192,24008,4.412,3.961,4.166,203,4.022,4.192,24008,4.412,3.961,4.166,,
2023-03-17,4.082,4.562,123049,4.592,3.972,4.411,606,4.082,4.562,123049,4.592,3.972,4.411,,
2023-03-20,4.432,4.922,95472,5.103,4.222,4.882,1573,4.432,4.922,95472,5.103,4.222,4.882,,
2023-03-21,4.972,5.033,29569,5.083,4.912,5.019,379,4.972,5.033,29569,5.083,4.912,5.019,,
2023-03-22,4.972,4.562,387642,4.972,4.522,3.975,444,4.972,4.562,387642,4.972,4.522,3.975,,
2023-03-23,4.562,4.452,20537,4.562,4.352,4.435,271,4.562,4.452,20537,4.562,4.352,4.435,,
2023-03-24,4.402,4.112,32150,4.402,4.112,4.173,469,4.402,4.112,32150,4.402,4.112,4.173,,
2023-03-27,4.132,4.072,13820,4.292,4.022,4.093,314,4.132,4.072,13820,4.292,4.022,4.093,,
2023-03-28,4.102,3.952,22326,4.272,3.902,4.009,268,4.102,3.952,22326,4.272,3.902,4.009,,
2023-03-29,4.062,3.902,21284,4.062,3.862,3.92,284,4.062,3.902,21284,4.062,3.862,3.92,,
2023-03-30,3.852,3.711,41811,3.977,3.643,3.743,321,3.852,3.711,41811,3.977,3.643,3.743,,
2023-03-31,3.762,3.992,51932,4.037,3.701,3.888,516,3.762,3.992,51932,4.037,3.701,3.888,,
