Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,45.91,46.57,720202,47.51,45.58,46.71,11082,43.83,44.46,720202,45.35,43.51,44.59,,
2023-03-02,46.09,47.61,569304,47.75,45.38,47.04,8071,44,45.45,569304,45.58,43.32,44.9,,
2023-03-03,47.65,47.55,530519,47.91,46.55,47.51,8500,45.49,45.39,530519,45.74,44.44,45.35,,
2023-03-06,47.05,45.91,533857,47.11,45.67,46.12,7172,44.91,43.83,533857,44.97,43.6,44.03,,
2023-03-07,45.87,47.29,816547,47.65,44.82,46.67,10795,43.79,45.14,816547,45.49,42.79,44.55,,
2023-03-08,47.49,47.33,483682,47.9,46.29,47.27,8361,45.33,45.18,483682,45.73,44.19,45.12,,
2023-03-09,47.53,45,472576,48.05,44.89,45.84,7676,45.37,42.96,472576,45.87,42.85,43.76,,
2023-03-10,45.14,44.66,544799,46.57,44.65,45.38,7766,43.09,42.63,544799,44.46,42.62,43.32,,
2023-03-13,43.25,43.31,605467,44.4,41.24,43.42,9535,41.29,41.34,605467,42.38,39.37,41.45,,
2023-03-14,43.64,44.61,441642,45.82,43.52,44.77,6522,41.66,42.58,441642,43.74,41.54,42.74,,
2023-03-15,43.01,42.43,832213,43.28,41.07,42.12,12307,41.06,40.5,832213,41.32,39.21,40.21,,
2023-03-16,42.02,41.6,424856,42.51,40.84,41.73,8295,40.11,39.71,424856,40.58,38.99,39.84,,
2023-03-17,41.65,40.96,708735,42.89,40.7,41.3,7834,39.76,39.1,708735,40.94,38.85,39.43,,
2023-03-20,41.38,42.05,447520,43.02,41.33,42.38,6697,39.5,40.14,447520,41.07,39.45,40.46,,
2023-03-21,44.15,43.74,611773,44.68,43.08,43.95,10339,42.15,41.75,611773,42.65,41.12,41.95,,
2023-03-22,43.56,45.04,637142,46.44,43.03,45.3,10568,41.58,43,637142,44.33,41.08,43.24,,
2023-03-23,45.47,43.34,700744,46.52,42.88,44,9568,43.41,41.37,700744,44.41,40.93,42,,
2023-03-24,42.61,43.42,341853,43.99,42.18,43.24,5999,40.68,41.45,341853,41.99,40.27,41.28,,
2023-03-27,43.79,43.72,249353,44.18,42.63,43.53,5159,41.8,41.74,249353,42.17,40.69,41.55,,
2023-03-28,44.04,43.74,281531,44.75,43.65,44.11,4960,42.04,41.75,281531,42.72,41.67,42.11,,
2023-03-29,43.74,43.31,306022,44.57,42.97,43.44,5195,41.75,41.34,306022,42.55,41.02,41.47,,
2023-03-30,43.52,42.37,383698,43.52,41.28,42.11,6517,41.54,40.45,383698,41.54,39.41,40.2,,
2023-03-31,42.58,42.95,573998,43.2,42.37,42.87,4807,40.65,41,573998,41.24,40.45,40.92,,
