Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.05,24.7,15899,24.89,24.05,24.51,442,23.39,24.03,15899,24.21,23.39,23.84,,
2023-03-02,24.02,24.54,8245,24.64,24,24.43,214,23.36,23.87,8245,23.97,23.34,23.76,,
2023-03-03,24.91,25,13813,25.5,23.94,24.91,306,24.23,24.32,13813,24.8,23.29,24.23,,
2023-03-06,25,24.5,16032,25.89,24.24,24.72,345,24.32,23.83,16032,25.18,23.58,24.05,,
2023-03-07,24.77,23.35,39567,24.87,23.13,23.72,851,24.09,22.71,39567,24.19,22.5,23.07,,
2023-03-08,23.3,23.25,13836,23.54,22.85,23.11,291,22.66,22.62,13836,22.9,22.23,22.48,,
2023-03-09,23.27,21.78,15464,23.27,21.7,22.17,540,22.63,21.19,15464,22.63,21.11,21.56,,
2023-03-10,21.43,19.9,26305,22.15,19.76,20.41,698,20.92,19.43,26305,21.62,19.29,19.93,0.08,
2023-03-13,20.2,18.64,40220,20.2,18.01,19.23,784,19.72,18.2,40220,19.72,17.58,18.77,,
2023-03-14,18.9,18.14,26379,19.11,18.13,18.56,746,18.45,17.71,26379,18.66,17.7,18.12,,
2023-03-15,17.78,17.59,27236,18.06,17.23,17.61,585,17.36,17.17,27236,17.63,16.82,17.19,,
2023-03-16,17.14,17.56,27234,17.74,17.01,17.32,783,16.73,17.14,27234,17.32,16.61,16.91,,
2023-03-17,16.9,16.51,58918,16.97,15.6,16.34,848,16.5,16.12,58918,16.57,15.23,15.95,,
2023-03-20,16.51,17.42,42200,17.8,16.51,17.3,899,16.12,17.01,42200,17.38,16.12,16.89,,
2023-03-21,17.8,17.11,19640,18.15,17.11,17.39,478,17.38,16.7,19640,17.72,16.7,16.98,,
2023-03-22,17.21,16.8,33184,18.11,16.76,17.38,679,16.8,16.4,33184,17.68,16.36,16.97,,
2023-03-23,16.78,16.26,14838,17.27,16.06,16.63,513,16.38,15.87,14838,16.86,15.68,16.24,,
2023-03-24,16.16,16.16,10111,16.62,15.96,16.27,244,15.78,15.78,10111,16.23,15.58,15.88,,
2023-03-27,16.68,16.51,9186,16.85,16.31,16.56,334,16.28,16.12,9186,16.45,15.92,16.17,,
2023-03-28,16.61,17.32,42689,17.87,16.53,17.32,876,16.22,16.91,42689,17.45,16.14,16.91,,
2023-03-29,17.52,17.31,20721,17.8,16.93,17.57,320,17.1,16.9,20721,17.38,16.53,17.15,,
2023-03-30,17.36,17.54,4465,17.69,17.36,17.53,206,16.95,17.12,4465,17.27,16.95,17.11,,
2023-03-31,17.66,17.42,11802,17.99,17.01,17.44,589,17.24,17.01,11802,17.56,16.61,17.03,,
