Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.25,11.71,73393,11.86,11.25,11.63,1958,11.25,11.71,73393,11.86,11.25,11.63,,
2023-03-02,11.62,11.77,66709,12.05,11.49,11.88,1154,11.62,11.77,66709,12.05,11.49,11.88,,
2023-03-03,11.9,12.15,72350,12.22,11.87,12.08,1061,11.9,12.15,72350,12.22,11.87,12.08,,
2023-03-06,12.15,11.97,77268,12.24,11.84,12.02,1400,12.15,11.97,77268,12.24,11.84,12.02,,
2023-03-07,11.87,11.91,68369,12.05,11.52,11.92,1731,11.87,11.91,68369,12.05,11.52,11.92,,
2023-03-08,11.9,11.69,128253,12.09,11.45,11.7,3533,11.9,11.69,128253,12.09,11.45,11.7,,
2023-03-09,11.7,11.77,73145,12,11.7,11.85,2082,11.7,11.77,73145,12,11.7,11.85,,
2023-03-10,11.75,11.62,74944,11.9,11.46,11.67,2266,11.75,11.62,74944,11.9,11.46,11.67,,
2023-03-13,11.37,11.51,62081,11.58,11.16,11.46,2130,11.37,11.51,62081,11.58,11.16,11.46,,
2023-03-14,11.49,12.1,93404,12.15,11.42,11.98,2152,11.49,12.1,93404,12.15,11.42,11.98,,
2023-03-15,11.72,11.73,70757,11.81,11.39,11.65,1739,11.72,11.73,70757,11.81,11.39,11.65,,
2023-03-16,11.55,12.07,55977,12.14,11.43,12,1478,11.55,12.07,55977,12.14,11.43,12,,
2023-03-17,11.88,11.6,82050,12.05,11.4,11.75,1599,11.88,11.6,82050,12.05,11.4,11.75,,
2023-03-20,11.72,11.72,78215,11.83,11.56,11.72,1806,11.72,11.72,78215,11.83,11.56,11.72,,
2023-03-21,11.89,11.77,45144,12.12,11.77,11.94,1424,11.89,11.77,45144,12.12,11.77,11.94,,
2023-03-22,11.77,11.86,59952,12.18,11.71,11.96,1586,11.77,11.86,59952,12.18,11.71,11.96,,
2023-03-23,12.04,12.11,50794,12.25,12,12.08,1469,12.04,12.11,50794,12.25,12,12.08,,
2023-03-24,11.96,12.11,33891,12.18,11.94,12.08,948,11.96,12.11,33891,12.18,11.94,12.08,,
2023-03-27,12.2,12.12,15611,12.2,12.05,12.13,923,12.2,12.12,15611,12.2,12.05,12.13,,
2023-03-28,12,11.92,30084,12.19,11.92,12.05,851,12,11.92,30084,12.19,11.92,12.05,,
2023-03-29,12.11,12.04,29455,12.15,11.98,12.04,1048,12.11,12.04,29455,12.15,11.98,12.04,,
2023-03-30,12.18,11.94,32082,12.18,11.87,11.96,1102,12.18,11.94,32082,12.18,11.87,11.96,,
2023-03-31,12.03,12.33,33959,12.35,11.93,12.21,831,12.03,12.33,33959,12.35,11.93,12.21,,
