Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.4888,0.461,33428550,0.494,0.4601,0.4698,45807,14.66,13.83,1114285,14.82,13.8,14.09,,
2023-03-02,0.456,0.4772,38383505,0.5051,0.45,0.4844,41749,13.68,14.32,1279450,15.15,13.5,14.53,,
2023-03-03,0.48,0.5039,33997354,0.5237,0.48,0.5027,43761,14.4,15.12,1133245,15.71,14.4,15.08,,
2023-03-06,0.513,0.4915,24015687,0.5199,0.4829,0.5033,28436,15.39,14.74,800523,15.6,14.49,15.1,,
2023-03-07,0.4975,0.4789,21337264,0.5,0.4783,0.4897,33239,14.93,14.37,711242,15,14.35,14.69,,
2023-03-08,0.478,0.4547,29753005,0.48,0.4505,0.4596,38619,14.34,13.64,991767,14.4,13.52,13.79,,
2023-03-09,0.4587,0.4302,31788094,0.465,0.43,0.443,43536,13.76,12.91,1059603,13.95,12.9,13.29,,
2023-03-10,0.4302,0.4115,42173702,0.4334,0.3962,0.4089,51202,12.91,12.34,1405790,13,11.89,12.27,,
2023-03-13,0.4027,0.4199,34915839,0.4392,0.3802,0.4091,54671,12.08,12.6,1163861,13.18,11.41,12.27,,
2023-03-14,0.4381,0.4162,25752331,0.4487,0.4121,0.4247,41085,13.14,12.49,858411,13.46,12.36,12.74,,
2023-03-15,0.4105,0.4022,20281521,0.4171,0.3913,0.4038,32713,12.31,12.07,676051,12.51,11.74,12.11,,
2023-03-16,0.4047,0.4082,30103543,0.4284,0.3852,0.4049,32759,12.14,12.25,1003451,12.85,11.56,12.15,,
2023-03-17,0.4002,0.3979,67618452,0.4097,0.3754,0.396,33507,12.01,11.94,2253948,12.29,11.26,11.88,,
2023-03-20,0.3966,0.3925,29859881,0.4299,0.3812,0.4038,36362,11.9,11.78,995329,12.9,11.44,12.11,,
2023-03-21,0.4002,0.4098,21579587,0.4187,0.3967,0.409,31277,12.01,12.29,719320,12.56,11.9,12.27,,
2023-03-22,0.4102,0.3899,22658356,0.4176,0.3872,0.4006,31609,12.31,11.7,755279,12.53,11.62,12.02,,
2023-03-23,0.4002,0.3976,18718611,0.4235,0.3902,0.4052,25047,12.01,11.93,623954,12.71,11.71,12.16,,
2023-03-24,0.3902,0.3876,17597941,0.4002,0.3832,0.3905,24179,11.71,11.63,586598,12.01,11.5,11.71,,
2023-03-27,0.3962,0.3768,20983881,0.397,0.3612,0.3758,25037,11.89,11.3,699463,11.91,10.84,11.27,,
2023-03-28,0.3732,0.3744,15102632,0.3852,0.3654,0.3748,22191,11.2,11.23,503421,11.56,10.96,11.24,,
2023-03-29,0.3753,0.3987,18105225,0.4052,0.3753,0.3936,21670,11.26,11.96,603508,12.16,11.26,11.81,,
2023-03-30,0.4102,0.3921,17623843,0.4192,0.3916,0.4017,22715,12.31,11.76,587461,12.58,11.75,12.05,,
2023-03-31,0.3982,0.446,36373369,0.4489,0.3952,0.4322,34562,11.95,13.38,1212446,13.47,11.86,12.97,,
