Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.6801,0.69,25275,0.7052,0.6801,0.697,66,0.6801,0.69,25275,0.7052,0.6801,0.697,,
2023-03-02,0.6665,0.69,23720,0.69,0.6101,0.6467,65,0.6665,0.69,23720,0.69,0.6101,0.6467,,
2023-03-03,0.69,0.6872,41585,0.69,0.6375,0.6573,69,0.69,0.6872,41585,0.69,0.6375,0.6573,,
2023-03-06,0.67,0.69,14874,0.69,0.67,0.6854,62,0.67,0.69,14874,0.69,0.67,0.6854,,
2023-03-07,0.6563,0.7399,28828,0.7399,0.6563,0.709,103,0.6563,0.7399,28828,0.7399,0.6563,0.709,,
2023-03-08,0.7398,0.7398,7401,0.7398,0.7126,0.7325,27,0.7398,0.7398,7401,0.7398,0.7126,0.7325,,
2023-03-09,0.722,0.7455,17008,0.7499,0.7149,0.7331,73,0.722,0.7455,17008,0.7499,0.7149,0.7331,,
2023-03-10,0.7325,0.7304,13921,0.7503,0.7154,0.7326,37,0.7325,0.7304,13921,0.7503,0.7154,0.7326,,
2023-03-13,0.7264,0.7304,13333,0.7304,0.7154,0.7212,72,0.7264,0.7304,13333,0.7304,0.7154,0.7212,,
2023-03-14,0.7304,0.7297,29528,0.8704,0.7204,0.7298,95,0.7304,0.7297,29528,0.8704,0.7204,0.7298,,
2023-03-15,0.7154,0.7504,44740,0.7504,0.6853,0.7216,98,0.7154,0.7504,44740,0.7504,0.6853,0.7216,,
2023-03-16,0.7204,0.7104,7778,0.7503,0.7006,0.7192,60,0.7204,0.7104,7778,0.7503,0.7006,0.7192,,
2023-03-17,0.6903,0.7104,12969,0.7104,0.6903,0.6935,39,0.6903,0.7104,12969,0.7104,0.6903,0.6935,,
2023-03-20,0.6903,0.6836,41114,0.7454,0.6113,0.6571,79,0.6903,0.6836,41114,0.7454,0.6113,0.6571,,
2023-03-21,0.6603,0.7204,40304,0.7443,0.6603,0.698,74,0.6603,0.7204,40304,0.7443,0.6603,0.698,,
2023-03-22,0.7404,0.7465,23050,0.7503,0.6903,0.719,74,0.7404,0.7465,23050,0.7503,0.6903,0.719,,
2023-03-23,0.7254,0.7104,13536,0.7305,0.7005,0.7145,51,0.7254,0.7104,13536,0.7305,0.7005,0.7145,,
2023-03-24,0.7014,0.6903,8078,0.7024,0.6306,0.6882,69,0.7014,0.6903,8078,0.7024,0.6306,0.6882,,
2023-03-27,0.6268,0.6583,11229,0.7013,0.6268,0.6611,58,0.6268,0.6583,11229,0.7013,0.6268,0.6611,,
2023-03-28,0.7003,0.7013,24952,0.7014,0.6852,0.6953,69,0.7003,0.7013,24952,0.7014,0.6852,0.6953,,
2023-03-29,0.7013,0.686,24378,0.7014,0.6623,0.6934,75,0.7013,0.686,24378,0.7014,0.6623,0.6934,,
2023-03-30,0.6683,0.6794,5568,0.7013,0.6583,0.676,38,0.6683,0.6794,5568,0.7013,0.6583,0.676,,
2023-03-31,0.6688,0.6873,4079,0.6873,0.6505,0.6713,34,0.6688,0.6873,4079,0.6873,0.6505,0.6713,,
