Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,9.55,9.52,1467,9.55,9.46,9.531,6,9.55,9.52,1467,9.55,9.46,9.531,,
2023-03-02,9.47,9.521,10653,9.521,9.47,9.499,112,9.47,9.521,10653,9.521,9.47,9.499,,
2023-03-03,9.641,9.641,14,9.641,9.641,9.637,3,9.641,9.641,14,9.641,9.641,9.637,,
2023-03-06,9.65,9.586,210,9.65,9.586,9.655,3,9.65,9.586,210,9.65,9.586,9.655,,
2023-03-07,9.44,9.361,867,9.44,9.361,9.432,11,9.44,9.361,867,9.44,9.361,9.432,,
2023-03-08,9.429,9.406,802,9.479,9.37,9.435,10,9.429,9.406,802,9.479,9.37,9.435,,
2023-03-09,9.249,9.176,220,9.249,9.169,9.21,7,9.249,9.176,220,9.249,9.169,9.21,,
2023-03-10,9.055,9.025,222,9.065,9.025,9.052,7,9.055,9.025,222,9.065,9.025,9.052,,
2023-03-13,9.055,9.056,205,9.115,9.055,9.082,3,9.055,9.056,205,9.115,9.055,9.082,,
2023-03-14,9.185,9.11,105,9.185,9.11,9.184,3,9.185,9.11,105,9.185,9.11,9.184,,
2023-03-15,9.045,9.106,100,9.106,9.045,9.045,1,9.045,9.106,100,9.106,9.045,9.045,,
2023-03-16,9.135,9.141,100,9.141,9.135,9.135,1,9.135,9.141,100,9.141,9.135,9.135,,
2023-03-17,9.052,9.053,176,9.053,9.052,9.051,4,9.052,9.053,176,9.053,9.052,9.051,,
2023-03-20,9.155,9.093,156,9.155,9.093,9.13,5,9.155,9.093,156,9.155,9.093,9.13,,
2023-03-21,9.175,9.23,1102,9.23,9.175,9.175,12,9.175,9.23,1102,9.23,9.175,9.175,,
2023-03-22,8.955,8.955,0,8.955,8.955,,undefined,8.955,8.955,0,8.955,8.955,,,
2023-03-23,8.993,8.993,12,8.993,8.993,9.145,2,8.993,8.993,12,8.993,8.993,9.145,,
2023-03-24,9.013,9.013,1,9.013,9.013,8.983,1,9.013,9.013,1,9.013,9.013,8.983,,
2023-03-27,9.035,9.09,105,9.09,9.035,9.037,2,9.035,9.09,105,9.09,9.035,9.037,,
2023-03-28,9.065,9.065,60,9.065,9.065,9.075,1,9.065,9.065,60,9.065,9.065,9.075,,
2023-03-29,9.17,9.17,30,9.17,9.17,9.147,5,9.17,9.17,30,9.17,9.17,9.147,,
2023-03-30,9.234,9.234,61,9.234,9.234,9.245,3,9.234,9.234,61,9.234,9.234,9.245,,
2023-03-31,9.428,9.428,62,9.428,9.428,9.395,2,9.428,9.428,62,9.428,9.428,9.395,,
