Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,20.05,20.05,5,20.05,20.05,20,1,17.88,17.88,5,17.88,17.88,17.84,,
2023-03-03,20.11,20.1,1000,20.11,20.1,20.11,1,17.93,17.92,1000,17.93,17.92,17.93,,
2023-03-06,20.08,20.08,1,20.08,20.08,20.05,1,17.91,17.91,1,17.91,17.91,17.88,,
2023-03-08,19.82,19.82,5,19.82,19.82,19.83,1,17.68,17.68,5,17.68,17.68,17.68,,
2023-03-09,19.8,19.73,101,19.8,19.73,19.8,1,17.66,17.59,101,17.66,17.59,17.66,,
2023-03-13,19.68,19.72,100,19.72,19.68,19.68,1,17.55,17.59,100,17.59,17.55,17.55,,
2023-03-16,19.79,19.78,2017,19.79,19.78,19.79,12,17.65,17.64,2017,17.65,17.64,17.65,,
2023-03-23,19.8,19.8,41,19.8,19.8,19.81,2,17.66,17.66,41,17.66,17.66,17.67,,
2023-03-24,19.75,19.73,2001,19.76,19.73,19.76,2,17.61,17.59,2001,17.62,17.59,17.62,,
2023-03-27,19.82,19.82,26,19.82,19.82,19.85,2,17.68,17.68,26,17.68,17.68,17.7,,
2023-03-29,19.9,19.9,1,19.9,19.9,19.9,1,17.75,17.75,1,17.75,17.75,17.75,,
2023-03-30,19.91,19.91,72,19.91,19.91,19.9,1,17.76,17.76,72,17.76,17.76,17.75,,
