Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.19,11.09,13561,11.4,10.79,11.07,116,207.9,206.04,678,211.8,200.47,205.67,,
2023-03-02,11.4,10.57,29880,11.73,10.49,10.97,190,211.8,196.38,1494,217.93,194.89,203.81,,
2023-03-03,10.25,10.06,14688,10.94,10.06,10.21,148,190.44,186.91,734,203.25,186.91,189.69,,
2023-03-06,10.1,10.19,6880,10.19,10.05,10.1,72,187.65,189.32,344,189.32,186.72,187.65,,
2023-03-07,10.05,10.25,10616,10.25,10,10.13,100,186.72,190.44,531,190.44,185.79,188.21,,
2023-03-08,10.1,10.04,12665,10.14,10.01,10.09,103,187.65,186.53,633,188.39,185.98,187.46,,
2023-03-09,10.12,10.66,100028,10.77,9.999,10.16,224,188.02,198.05,5001,200.1,185.77,188.76,,
2023-03-10,10.83,11.53,37051,12.21,10.64,11.4,350,201.21,214.22,1853,226.85,197.68,211.8,,
2023-03-13,11.97,11.57,29658,12.13,11.2,11.51,188,222.39,214.96,1483,225.36,208.09,213.84,,
2023-03-14,11.48,10.31,21878,11.48,10.3,10.62,154,213.29,191.55,1094,213.29,191.36,197.31,,
2023-03-15,10.79,10.69,117891,11.17,10.67,10.8,481,200.47,198.61,5895,207.53,198.24,200.65,,
2023-03-16,10.81,10.14,14352,10.81,10.12,10.34,137,200.84,188.39,718,200.84,188.02,192.11,,
2023-03-17,10.12,10.36,8316,10.5,10.11,10.27,93,188.02,192.48,416,195.08,187.83,190.81,,
2023-03-20,10.31,10.11,5766,10.32,10.02,10.18,72,191.55,187.83,288,191.74,186.16,189.13,,
2023-03-21,10.11,10.05,30787,10.24,9.845,10.08,86,187.83,186.72,1539,190.25,182.91,187.28,,
2023-03-22,10.24,9.945,7521,10.24,9.825,9.882,64,190.25,184.77,376,190.25,182.54,183.6,,
2023-03-23,9.645,9.882,12750,10.03,9.645,9.748,98,179.19,183.6,638,186.35,179.19,181.11,,
2023-03-24,10.22,9.86,7639,10.25,9.825,9.92,83,189.88,183.19,382,190.44,182.54,184.3,,
2023-03-27,9.731,9.711,170182,9.835,9.615,9.772,404,181.34,180.97,8509,183.28,179.18,182.11,0.03,
2023-03-28,9.895,9.665,3925,9.895,9.585,9.682,40,184.4,180.11,196,184.4,178.62,180.43,,
2023-03-29,9.675,9.6,4486,9.695,9.581,9.622,50,180.3,178.9,224,180.67,178.55,179.31,,
2023-03-30,9.664,9.574,13856,9.664,9.534,9.602,48,180.1,178.42,693,180.1,177.67,178.94,,
2023-03-31,9.414,9.31,10110,9.493,9.264,9.403,108,175.44,173.5,506,176.91,172.64,175.23,,
