Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,42.04,42.04,43,42.04,42.04,42.03,2,41.36,41.36,43,41.36,41.36,41.35,,
2023-03-02,42.16,42.16,55,42.16,42.16,42.19,3,41.48,41.48,55,41.48,41.48,41.51,,
2023-03-03,42.36,42.36,9,42.36,42.36,42.34,1,41.68,41.68,9,41.68,41.68,41.66,,
2023-03-06,42.46,42.46,5,42.46,42.46,42.57,4,41.78,41.78,5,41.78,41.78,41.88,,
2023-03-07,42.21,42.21,45,42.21,42.21,42.35,1,41.53,41.53,45,41.53,41.53,41.67,,
2023-03-08,42.44,42.25,441,42.44,42.25,42.44,1,41.76,41.57,441,41.76,41.57,41.76,,
2023-03-09,41.98,41.98,7,41.98,41.98,42.25,1,41.3,41.3,7,41.3,41.3,41.57,,
2023-03-10,41.69,41.69,0,41.69,41.69,,undefined,41.02,41.02,0,41.02,41.02,,,
2023-03-13,41.79,41.79,31,41.79,41.79,41.79,6,41.12,41.12,31,41.12,41.12,41.12,,
2023-03-14,42,42,10,42,42,42.05,1,41.32,41.32,10,41.32,41.32,41.37,,
2023-03-15,41.47,41.87,114,41.87,41.47,41.51,6,40.8,41.2,114,41.2,40.8,40.84,,
2023-03-16,42.18,42.18,0,42.18,42.18,,undefined,41.5,41.5,0,41.5,41.5,,,
2023-03-17,41.91,41.91,4,41.91,41.91,41.96,1,41.23,41.23,4,41.23,41.23,41.28,,
2023-03-20,42.32,42.27,210,42.32,42.27,42.31,2,41.64,41.59,210,41.64,41.59,41.63,,
2023-03-21,42.44,42.46,775,42.49,42.37,42.43,6,41.76,41.78,775,41.81,41.69,41.75,,
2023-03-22,42.56,42.12,4127,42.56,42.12,42.5,28,41.87,41.44,4127,41.87,41.44,41.82,,
2023-03-23,42.1,42.1,0,42.1,42.1,,undefined,41.42,41.42,0,41.42,41.42,,,
2023-03-24,42.3,42.3,50,42.3,42.3,42.04,1,41.62,41.62,50,41.62,41.62,41.36,,
2023-03-27,42.51,42.3,200,42.51,42.3,42.51,2,41.93,41.72,200,41.93,41.72,41.93,0.10236,
2023-03-28,42.22,42.22,0,42.22,42.22,,undefined,41.64,41.64,0,41.64,41.64,,,
2023-03-29,42.73,42.73,1,42.73,42.73,42.66,1,42.14,42.14,1,42.14,42.14,42.07,,
2023-03-30,42.93,42.93,0,42.93,42.93,,undefined,42.34,42.34,0,42.34,42.34,,,
2023-03-31,43.16,43.16,1,43.16,43.16,43.1,1,42.57,42.57,1,42.57,42.57,42.51,,
