Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,49.66,49.66,1,49.66,49.66,49.7,1,45.92,45.92,1,45.92,45.92,45.96,,
2023-03-02,49.62,49.62,50,49.62,49.62,49.53,1,45.89,45.89,50,45.89,45.89,45.8,,
2023-03-03,49.69,49.69,1,49.69,49.69,49.77,1,45.95,45.95,1,45.95,45.95,46.03,,
2023-03-06,49.67,49.67,1,49.67,49.67,49.72,1,45.93,45.93,1,45.93,45.93,45.98,,
2023-03-07,49.71,49.71,50,49.71,49.71,49.73,1,45.97,45.97,50,45.97,45.97,45.99,,
2023-03-08,49.68,49.68,0,49.68,49.68,,undefined,45.94,45.94,0,45.94,45.94,,,
2023-03-09,49.8,49.8,0,49.8,49.8,,undefined,46.05,46.05,0,46.05,46.05,,,
2023-03-10,50.04,50.04,0,50.04,50.04,,undefined,46.28,46.28,0,46.28,46.28,,,
2023-03-13,50.16,50.16,0,50.16,50.16,,undefined,46.39,46.39,0,46.39,46.39,,,
2023-03-14,50.08,50.08,1,50.08,50.08,50,1,46.31,46.31,1,46.31,46.31,46.24,,
2023-03-15,50.17,50.17,0,50.17,50.17,,undefined,46.4,46.4,0,46.4,46.4,,,
2023-03-16,50.12,50.12,0,50.12,50.12,,undefined,46.35,46.35,0,46.35,46.35,,,
2023-03-17,50.26,50.26,0,50.26,50.26,,undefined,46.48,46.48,0,46.48,46.48,,,
2023-03-20,49.94,49.94,3,49.94,49.94,50.06,3,46.34,46.34,3,46.34,46.34,46.45,0.16826,
2023-03-21,49.84,49.84,0,49.84,49.84,,undefined,46.25,46.25,0,46.25,46.25,,,
2023-03-22,50.01,50.01,1,50.01,50.01,49.94,1,46.4,46.4,1,46.4,46.4,46.34,,
2023-03-23,50.05,50.05,0,50.05,50.05,,undefined,46.44,46.44,0,46.44,46.44,,,
2023-03-24,50.11,50.11,0,50.11,50.11,,undefined,46.5,46.5,0,46.5,46.5,,,
2023-03-27,50.05,50.05,4,50.05,50.05,50.06,4,46.44,46.44,4,46.44,46.44,46.45,,
2023-03-28,50.11,50.11,3,50.11,50.11,50.09,3,46.5,46.5,3,46.5,46.5,46.48,,
2023-03-29,50.15,50.15,0,50.15,50.15,,undefined,46.53,46.53,0,46.53,46.53,,,
2023-03-30,50.22,50.22,0,50.22,50.22,,undefined,46.6,46.6,0,46.6,46.6,,,
2023-03-31,50.33,50.33,0,50.33,50.33,,undefined,46.7,46.7,0,46.7,46.7,,,
