Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,26,26,18,26,26,26.13,8,23.69,23.69,18,23.69,23.69,23.81,0.0855,
2023-03-02,26.01,26.01,224,26.01,26.01,25.93,9,23.7,23.7,224,23.7,23.7,23.63,,
2023-03-03,26.27,26.3,634,26.3,26.27,26.27,4,23.94,23.96,634,23.96,23.94,23.94,,
2023-03-06,26.31,26.31,0,26.31,26.31,,undefined,23.97,23.97,0,23.97,23.97,,,
2023-03-07,26.07,26.07,19,26.07,26.07,26.23,6,23.75,23.75,19,23.75,23.75,23.9,,
2023-03-08,26.02,26.02,34,26.02,26.02,26.07,3,23.71,23.71,34,23.71,23.71,23.75,,
2023-03-09,25.97,25.69,1543,25.98,25.69,25.98,9,23.66,23.41,1543,23.67,23.41,23.67,,
2023-03-10,25.57,25.52,3139,25.6,25.52,25.58,14,23.3,23.25,3139,23.33,23.25,23.31,,
2023-03-13,25.2,25.49,1700,25.49,25.2,25.23,12,22.96,23.23,1700,23.23,22.96,22.99,,
2023-03-14,25.63,25.63,69,25.63,25.63,25.73,8,23.35,23.35,69,23.35,23.35,23.45,,
2023-03-15,25.41,25.41,41,25.41,25.41,25.33,3,23.15,23.15,41,23.15,23.15,23.08,,
2023-03-16,25.57,25.57,1,25.57,25.57,25.33,1,23.3,23.3,1,23.3,23.3,23.08,,
2023-03-17,25.39,25.39,4,25.39,25.39,25.41,2,23.14,23.14,4,23.14,23.14,23.15,,
2023-03-20,25.41,25.41,64,25.41,25.41,25.4,5,23.15,23.15,64,23.15,23.15,23.14,,
2023-03-21,25.59,25.59,0,25.59,25.59,,undefined,23.32,23.32,0,23.32,23.32,,,
2023-03-22,25.55,25.53,719,25.61,25.53,25.6,6,23.28,23.26,719,23.34,23.26,23.33,,
2023-03-23,25.4,25.4,0,25.4,25.4,,undefined,23.14,23.14,0,23.14,23.14,,,
2023-03-24,25.5,25.5,0,25.5,25.5,,undefined,23.24,23.24,0,23.24,23.24,,,
2023-03-27,25.53,25.53,9,25.53,25.53,25.55,1,23.26,23.26,9,23.26,23.26,23.28,,
2023-03-28,25.54,25.59,299,25.61,25.54,25.58,8,23.27,23.32,299,23.34,23.27,23.31,,
2023-03-29,25.77,25.77,0,25.77,25.77,,undefined,23.48,23.48,0,23.48,23.48,,,
2023-03-30,25.92,25.92,0,25.92,25.92,,undefined,23.62,23.62,0,23.62,23.62,,,
2023-03-31,26.07,26.16,166,26.16,26.07,26.07,2,23.75,23.84,166,23.84,23.75,23.75,,
