Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,36.31,36.44,10185,36.53,36.3,36.41,79,36.09,36.22,10185,36.31,36.08,36.19,,
2023-03-02,36.24,36.67,6883,36.74,36.17,36.45,73,36.02,36.45,6883,36.52,35.95,36.23,,
2023-03-03,36.85,37.14,42746,37.22,36.84,36.9,117,36.63,36.91,42746,36.99,36.62,36.68,,
2023-03-06,37.22,36.55,7121,37.29,36.46,36.81,62,36.99,36.33,7121,37.06,36.24,36.59,,
2023-03-07,36.48,36.23,13511,36.64,36.2,36.28,62,36.26,36.01,13511,36.42,35.98,36.06,,
2023-03-08,36.38,36.3,29865,36.38,36.04,36.12,209,36.16,36.08,29865,36.16,35.82,35.9,,
2023-03-09,36.21,35.49,14042,36.21,35.49,35.91,83,35.99,35.27,14042,35.99,35.27,35.69,,
2023-03-10,35.47,34.59,1251873,35.47,34.33,34.58,283,35.26,34.38,1251873,35.26,34.12,34.37,,
2023-03-13,34.09,34.02,34322,34.39,33.77,34.05,93,33.88,33.81,34322,34.18,33.57,33.84,,
2023-03-14,34.88,34.63,7797,35.03,34.33,34.77,56,34.67,34.42,7797,34.82,34.12,34.56,,
2023-03-15,33.72,34.01,83905,34.01,33.57,34.01,91,33.52,33.8,83905,33.8,33.37,33.8,,
2023-03-16,33.78,34.55,9580,34.55,33.66,34.33,64,33.58,34.34,9580,34.34,33.46,34.12,,
2023-03-17,34.07,33.76,4423,34.25,33.75,34.07,36,33.86,33.56,4423,34.04,33.55,33.86,,
2023-03-20,33.77,33.77,14053,33.8,33.75,33.77,107,33.57,33.57,14053,33.6,33.55,33.57,,
2023-03-21,33.75,33.75,12303,33.78,33.75,33.76,75,33.55,33.55,12303,33.58,33.55,33.56,,
2023-03-22,33.76,33.77,6851,33.77,33.76,33.76,57,33.56,33.57,6851,33.57,33.56,33.56,,
2023-03-23,33.76,33.76,19002,33.79,33.76,33.77,213,33.56,33.56,19002,33.59,33.56,33.57,,
2023-03-24,33.77,33.77,12684,33.79,33.74,33.77,91,33.57,33.57,12684,33.59,33.54,33.57,,
2023-03-27,33.78,33.79,9931,33.8,33.77,33.78,74,33.58,33.59,9931,33.6,33.57,33.58,,
2023-03-28,33.58,33.6,16631,33.6,33.56,33.58,148,33.58,33.6,16631,33.6,33.56,33.58,0.20465,
2023-03-29,33.61,33.59,3835,33.61,33.58,33.59,36,33.61,33.59,3835,33.61,33.58,33.59,,
2023-03-30,33.6,33.59,6814,33.6,33.58,33.6,31,33.6,33.59,6814,33.6,33.58,33.6,,
