Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.73,22.37,3456,22.76,22.3,22.52,47,9.362,9.213,3456,9.374,9.185,9.275,,
2023-03-02,22.35,22.87,9006,22.87,22.35,22.75,143,9.205,9.419,9006,9.419,9.205,9.37,,
2023-03-03,22.82,22.95,5919,23.07,22.82,23.01,55,9.399,9.452,5919,9.502,9.399,9.477,,
2023-03-06,23,22.73,7815,23,22.73,22.88,56,9.473,9.362,7815,9.473,9.362,9.423,,
2023-03-07,22.36,22.27,5304,22.46,22.26,22.36,51,9.209,9.172,5304,9.25,9.168,9.209,,
2023-03-08,22.13,22.07,1820,22.13,21.96,22.04,38,9.115,9.09,1820,9.115,9.044,9.077,,
2023-03-09,21.79,21.11,10124,21.79,21,21.28,114,8.974,8.694,10124,8.974,8.649,8.764,,
2023-03-10,21.03,21.12,8082,21.26,21.03,21.17,73,8.661,8.699,8082,8.756,8.661,8.719,,
2023-03-13,21.23,21.48,4218,21.61,21.23,21.49,26,8.744,8.847,4218,8.9,8.744,8.851,,
2023-03-14,21.35,21.59,2224,21.59,21.3,21.47,18,8.793,8.892,2224,8.892,8.773,8.843,,
2023-03-15,21.28,21.09,9447,21.28,20.8,21.1,82,8.764,8.686,9447,8.764,8.567,8.69,,
2023-03-16,21.16,21.59,2095,21.59,21.09,21.37,26,8.715,8.892,2095,8.892,8.686,8.801,,
2023-03-17,21.56,21.61,10893,21.68,21.41,21.56,54,8.88,8.9,10893,8.929,8.818,8.88,,
2023-03-20,21.53,21.54,702,21.54,21.53,21.53,11,8.867,8.872,702,8.872,8.867,8.867,,
2023-03-21,21.78,21.74,19883,21.81,21.62,21.72,218,8.97,8.954,19883,8.983,8.904,8.946,,
2023-03-22,21.92,21.72,1808,21.92,21.72,21.83,27,9.028,8.946,1808,9.028,8.946,8.991,,
2023-03-23,22.19,22.03,4462,22.19,21.92,22.08,51,9.139,9.073,4462,9.139,9.028,9.094,,
2023-03-24,22,22.02,1909,22.08,21.96,22,33,9.061,9.069,1909,9.094,9.044,9.061,,
2023-03-27,21.97,22,7890,22.04,21.91,21.98,42,9.049,9.061,7890,9.077,9.024,9.053,,
2023-03-28,22.12,22.24,5403,22.24,22.07,22.19,54,9.11,9.16,5403,9.16,9.09,9.139,,
2023-03-29,21.17,21.23,11456,21.24,21.06,21.26,69,9.172,9.198,11456,9.202,9.124,9.211,1.097768,
2023-03-30,21.31,21.33,2015,21.35,21.29,21.33,24,9.233,9.241,2015,9.25,9.224,9.241,,
2023-03-31,21.32,21.29,15622,21.35,21.21,21.29,89,9.237,9.224,15622,9.25,9.189,9.224,,
