Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.01,21.01,0,21.01,21.01,,undefined,18.12,18.12,0,18.12,18.12,,,
2023-03-02,21.11,21.11,37,21.11,21.11,20.89,1,18.21,18.21,37,18.21,18.21,18.02,,
2023-03-03,21.46,21.46,11,21.46,21.46,21.23,1,18.51,18.51,11,18.51,18.51,18.31,,
2023-03-06,21.37,21.37,12,21.37,21.37,21.42,3,18.43,18.43,12,18.43,18.43,18.48,,
2023-03-07,21.15,21.15,0,21.15,21.15,,undefined,18.24,18.24,0,18.24,18.24,,,
2023-03-08,21.19,21.19,0,21.19,21.19,,undefined,18.28,18.28,0,18.28,18.28,,,
2023-03-09,20.73,20.73,6,20.73,20.73,21.21,1,17.88,17.88,6,17.88,17.88,18.29,,
2023-03-10,20.46,20.46,0,20.46,20.46,,undefined,17.65,17.65,0,17.65,17.65,,,
2023-03-13,20.4,20.4,1,20.4,20.4,20.42,1,17.6,17.6,1,17.6,17.6,17.61,,
2023-03-14,20.51,20.6,250,20.6,20.51,20.51,1,17.69,17.77,250,17.77,17.69,17.69,,
2023-03-15,20.39,20.39,0,20.39,20.39,,undefined,17.59,17.59,0,17.59,17.59,,,
2023-03-16,20.7,20.7,500,20.7,20.7,20.7,1,17.85,17.85,500,17.85,17.85,17.85,,
2023-03-17,20.44,20.44,3,20.44,20.44,20.53,1,17.63,17.63,3,17.63,17.63,17.71,,
2023-03-20,20.48,20.48,0,20.48,20.48,,undefined,17.66,17.66,0,17.66,17.66,,,
2023-03-21,20.85,20.85,0,20.85,20.85,,undefined,17.98,17.98,0,17.98,17.98,,,
2023-03-22,20.67,20.67,40,20.67,20.67,20.9,1,17.83,17.83,40,17.83,17.83,18.03,,
2023-03-23,20.73,20.73,2,20.73,20.73,19.7,1,17.88,17.88,2,17.88,17.88,16.99,,
2023-03-24,20.65,20.65,3,20.65,20.65,20.58,3,17.81,17.81,3,17.81,17.81,17.75,,
2023-03-27,20.67,20.77,111,20.77,20.67,20.68,6,17.83,17.91,111,17.91,17.83,17.84,,
2023-03-28,20.75,20.75,2,20.75,20.75,20.81,1,17.9,17.9,2,17.9,17.9,17.95,,
2023-03-29,21.01,21.01,0,21.01,21.01,,undefined,18.12,18.12,0,18.12,18.12,,,
2023-03-30,21.13,21.13,100,21.13,21.13,21.23,2,18.23,18.23,100,18.23,18.23,18.31,,
2023-03-31,21.48,21.48,3,21.48,21.48,21.35,3,18.53,18.53,3,18.53,18.53,18.42,,
