Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.62,21.62,0,21.62,21.62,,undefined,19.49,19.49,0,19.49,19.49,,,
2023-03-02,21.75,21.78,671,21.78,21.75,21.75,5,19.61,19.63,671,19.63,19.61,19.61,,
2023-03-03,21.95,22,130,22,21.95,21.94,2,19.79,19.83,130,19.83,19.79,19.78,,
2023-03-06,22.12,22.06,2674,22.12,22.06,22.09,10,19.94,19.89,2674,19.94,19.89,19.91,,
2023-03-07,21.87,21.88,4328,21.88,21.87,21.87,11,19.71,19.72,4328,19.72,19.71,19.71,,
2023-03-08,21.9,21.9,0,21.9,21.9,,undefined,19.74,19.74,0,19.74,19.74,,,
2023-03-09,21.71,21.71,1,21.71,21.71,21.91,1,19.57,19.57,1,19.57,19.57,19.75,,
2023-03-10,21.54,21.48,791,21.59,21.48,21.56,5,19.42,19.36,791,19.46,19.36,19.43,,
2023-03-13,21.55,21.44,1886,21.55,21.44,21.55,1,19.43,19.33,1886,19.43,19.33,19.43,,
2023-03-14,21.71,21.71,2,21.71,21.71,21.7,1,19.57,19.57,2,19.57,19.57,19.56,,
2023-03-15,21.49,21.56,321,21.56,21.49,21.49,1,19.37,19.43,321,19.43,19.37,19.37,,
2023-03-16,21.58,21.84,10055,21.84,21.58,21.76,26,19.45,19.69,10055,19.69,19.45,19.62,,
2023-03-17,21.69,21.69,0,21.69,21.69,,undefined,19.55,19.55,0,19.55,19.55,,,
2023-03-20,21.85,21.85,0,21.85,21.85,,undefined,19.7,19.7,0,19.7,19.7,,,
2023-03-21,22.04,22.04,0,22.04,22.04,,undefined,19.87,19.87,0,19.87,19.87,,,
2023-03-22,22.17,21.87,20434,22.17,21.87,22.06,19,19.98,19.71,20434,19.98,19.71,19.89,,
2023-03-23,21.93,21.93,0,21.93,21.93,,undefined,19.77,19.77,0,19.77,19.77,,,
2023-03-24,22.04,22.04,156,22.04,22.04,21.99,2,19.87,19.87,156,19.87,19.87,19.82,,
2023-03-27,22.16,22.1,122,22.16,22.1,22.16,1,19.98,19.92,122,19.98,19.92,19.98,,
2023-03-28,22.03,22.07,717,22.07,22.03,22.04,3,19.86,19.89,717,19.89,19.86,19.87,,
2023-03-29,22.22,22.22,0,22.22,22.22,,undefined,20.03,20.03,0,20.03,20.03,,,
2023-03-30,22.27,22.29,11203,22.32,22.26,22.28,17,20.07,20.09,11203,20.12,20.07,20.08,,
2023-03-31,22.46,22.46,2,22.46,22.46,22.32,2,20.25,20.25,2,20.25,20.25,20.12,,
