Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,23.55,23.55,0,23.55,23.55,,undefined,23.3,23.3,0,23.3,23.3,,,
2023-03-02,23.69,23.69,0,23.69,23.69,,undefined,23.44,23.44,0,23.44,23.44,,,
2023-03-03,24.03,24.03,1,24.03,24.03,22.51,1,23.77,23.77,1,23.77,23.77,22.27,,
2023-03-06,24.05,24.05,0,24.05,24.05,,undefined,23.79,23.79,0,23.79,23.79,,,
2023-03-07,23.69,23.69,0,23.69,23.69,,undefined,23.44,23.44,0,23.44,23.44,,,
2023-03-08,23.7,23.7,0,23.7,23.7,,undefined,23.45,23.45,0,23.45,23.45,,,
2023-03-09,23.48,23.3,100,23.48,23.3,23.48,1,23.23,23.05,100,23.23,23.05,23.23,,
2023-03-10,22.91,22.94,100,22.94,22.91,22.91,1,22.67,22.7,100,22.7,22.67,22.67,,
2023-03-13,22.87,22.87,23,22.87,22.87,23.07,1,22.63,22.63,23,22.63,22.63,22.83,,
2023-03-14,23.19,23.19,0,23.19,23.19,,undefined,22.94,22.94,0,22.94,22.94,,,
2023-03-15,22.96,22.98,100,22.98,22.96,22.96,1,22.72,22.74,100,22.74,22.72,22.72,,
2023-03-16,23.42,23.42,1,23.42,23.42,23.25,1,23.17,23.17,1,23.17,23.17,23,,
2023-03-17,23.14,23.14,0,23.14,23.14,,undefined,22.89,22.89,0,22.89,22.89,,,
2023-03-20,23.37,23.37,0,23.37,23.37,,undefined,23.12,23.12,0,23.12,23.12,,,
2023-03-21,23.68,23.68,0,23.68,23.68,,undefined,23.43,23.43,0,23.43,23.43,,,
2023-03-22,23.34,23.34,200,23.34,23.34,23.34,1,23.09,23.09,200,23.09,23.09,23.09,,
2023-03-23,23.33,23.33,0,23.33,23.33,,undefined,23.08,23.08,0,23.08,23.08,,,
2023-03-24,23.43,23.43,0,23.43,23.43,,undefined,23.18,23.18,0,23.18,23.18,,,
2023-03-27,23.51,23.51,0,23.51,23.51,,undefined,23.26,23.26,0,23.26,23.26,,,
2023-03-28,23.49,23.49,0,23.49,23.49,,undefined,23.24,23.24,0,23.24,23.24,,,
2023-03-29,23.81,23.81,0,23.81,23.81,,undefined,23.56,23.56,0,23.56,23.56,,,
2023-03-30,23.94,23.94,1,23.94,23.94,23.91,1,23.69,23.69,1,23.69,23.69,23.66,,
2023-03-31,24.28,24.28,0,24.28,24.28,,undefined,24.02,24.02,0,24.02,24.02,,,
