Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,39.88,39.88,126,39.88,39.88,39.83,10,37.01,37.01,126,37.01,37.01,36.96,0.04,
2023-03-02,40.07,40.09,1205,40.09,40.07,40.07,10,37.19,37.2,1205,37.2,37.19,37.19,,
2023-03-03,40.38,40.38,124,40.38,40.38,40.29,5,37.47,37.47,124,37.47,37.47,37.39,,
2023-03-06,40.27,40.27,63,40.27,40.27,40.37,2,37.37,37.37,63,37.37,37.37,37.46,,
2023-03-07,40.1,40.04,324,40.1,40.04,40.08,7,37.21,37.16,324,37.21,37.16,37.19,,
2023-03-08,40.07,40.04,602,40.07,40.01,40.06,14,37.19,37.16,602,37.19,37.13,37.18,,
2023-03-09,40.07,39.67,986,40.07,39.67,40,12,37.19,36.81,986,37.19,36.81,37.12,,
2023-03-10,39.37,39.21,1205,39.4,39.21,39.37,12,36.54,36.39,1205,36.56,36.39,36.54,,
2023-03-13,38.91,38.92,720,38.92,38.91,38.91,15,36.11,36.12,720,36.12,36.11,36.11,,
2023-03-14,39.29,39.05,417,39.29,39.05,39.28,7,36.46,36.24,417,36.46,36.24,36.45,,
2023-03-15,38.86,38.95,337,38.95,38.86,38.86,3,36.06,36.15,337,36.15,36.06,36.06,,
2023-03-16,39.12,39.32,227,39.32,39.12,39.15,9,36.3,36.49,227,36.49,36.3,36.33,,
2023-03-17,39.03,39.04,4030,39.08,39.03,39.05,33,36.22,36.23,4030,36.27,36.22,36.24,,
2023-03-20,39.14,39.29,780,39.29,39.14,39.24,14,36.32,36.46,780,36.46,36.32,36.42,,
2023-03-21,39.6,39.68,1146,39.68,39.58,39.58,10,36.75,36.82,1146,36.82,36.73,36.73,,
2023-03-22,39.6,39.4,1205,39.72,39.4,39.63,14,36.75,36.56,1205,36.86,36.56,36.78,,
2023-03-23,39.41,39.32,659,39.43,39.32,39.43,13,36.57,36.49,659,36.59,36.49,36.59,,
2023-03-24,39.14,39.24,306,39.24,39.14,39.16,6,36.32,36.42,306,36.42,36.32,36.34,,
2023-03-27,39.45,39.51,371,39.51,39.45,39.45,8,36.61,36.67,371,36.67,36.61,36.61,,
2023-03-28,39.49,39.49,16,39.49,39.49,39.47,1,36.65,36.65,16,36.65,36.65,36.63,,
2023-03-29,39.61,39.66,981,39.66,39.57,39.6,11,36.76,36.81,981,36.81,36.72,36.75,,
2023-03-30,39.83,39.83,55,39.83,39.83,39.81,4,36.96,36.96,55,36.96,36.96,36.94,,
2023-03-31,40.05,40.19,2081,40.19,40.02,40.03,23,37.17,37.3,2081,37.3,37.14,37.15,,
