Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.32,21.33,1282,21.4,21.32,21.35,27,21.16,21.17,1282,21.24,21.16,21.19,,
2023-03-02,20.95,21.05,1588,21.05,20.92,20.95,18,20.79,20.89,1588,20.89,20.76,20.79,,
2023-03-03,21.16,21.42,3549,21.45,21.16,21.32,24,21,21.26,3549,21.29,21,21.16,,
2023-03-06,22.01,22,1244,22.01,21.99,21.99,32,21.84,21.83,1244,21.84,21.82,21.82,,
2023-03-07,21.71,21.71,186,21.71,21.71,21.8,9,21.54,21.54,186,21.54,21.54,21.63,,
2023-03-08,21.43,21.47,393,21.47,21.38,21.41,15,21.27,21.3,393,21.3,21.22,21.25,,
2023-03-09,21.51,21.18,2343,21.51,21.15,21.25,20,21.34,21.02,2343,21.34,20.99,21.09,,
2023-03-10,21.13,20.94,4453,21.13,20.88,20.9,36,20.97,20.78,4453,20.97,20.72,20.74,,
2023-03-13,20.74,20.95,3944,21.08,20.74,21.02,29,20.58,20.79,3944,20.92,20.58,20.86,,
2023-03-14,20.84,20.85,1600,20.85,20.74,20.78,21,20.68,20.69,1600,20.69,20.58,20.62,,
2023-03-15,20.46,20.41,692,20.46,20.28,20.29,18,20.3,20.25,692,20.3,20.12,20.13,,
2023-03-16,19.77,19.62,6148,19.77,19.34,19.55,83,19.62,19.47,6148,19.62,19.19,19.4,,
2023-03-17,19.6,19.07,1044,19.6,19.02,19.43,20,19.45,18.92,1044,19.45,18.87,19.28,,
2023-03-20,19.59,19.7,1166,19.7,19.49,19.58,14,19.44,19.55,1166,19.55,19.34,19.43,,
2023-03-21,20.09,20.19,2357,20.22,20.09,20.18,24,19.94,20.03,2357,20.06,19.94,20.02,,
2023-03-22,19.79,19.79,214,19.79,19.79,20.07,13,19.64,19.64,214,19.64,19.64,19.92,,
2023-03-23,20.26,19.96,2278,20.26,19.96,20.04,18,20.1,19.81,2278,20.1,19.81,19.89,,
2023-03-24,19.89,19.98,813,19.98,19.89,19.89,20,19.74,19.83,813,19.83,19.74,19.74,,
2023-03-27,20.17,20.18,1092,20.2,20.01,20.09,24,20.01,20.02,1092,20.04,19.86,19.94,,
2023-03-28,20.05,19.98,1564,20.08,19.98,20.06,14,19.9,19.83,1564,19.93,19.83,19.91,,
2023-03-29,19.98,20.23,1224,20.23,19.98,20.02,13,19.83,20.07,1224,20.07,19.83,19.87,,
2023-03-30,20.62,20.62,204,20.62,20.62,20.63,13,20.46,20.46,204,20.46,20.46,20.47,,
2023-03-31,20.65,20.85,2069,20.85,20.65,20.76,16,20.49,20.69,2069,20.69,20.49,20.6,,
