Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,23.8,23.8,45,23.8,23.8,23.76,5,23.65,23.65,45,23.65,23.65,23.61,,
2023-03-02,23.9,23.9,0,23.9,23.9,,undefined,23.75,23.75,0,23.75,23.75,,,
2023-03-03,24.1,24.1,26,24.1,24.1,24.12,1,23.95,23.95,26,23.95,23.95,23.97,,
2023-03-06,24.05,24.05,25,24.05,24.05,24.08,5,23.9,23.9,25,23.9,23.9,23.93,,
2023-03-07,23.83,23.72,245,23.83,23.72,23.83,4,23.68,23.57,245,23.68,23.57,23.68,,
2023-03-08,23.54,23.54,5,23.54,23.54,23.64,4,23.4,23.4,5,23.4,23.4,23.5,,
2023-03-09,23.35,23.35,66,23.35,23.35,23.81,5,23.21,23.21,66,23.21,23.21,23.66,,
2023-03-10,23.16,23.16,0,23.16,23.16,,undefined,23.02,23.02,0,23.02,23.02,,,
2023-03-13,23.47,23.47,0,23.47,23.47,,undefined,23.33,23.33,0,23.33,23.33,,,
2023-03-14,23.67,23.67,10,23.67,23.67,23.57,2,23.53,23.53,10,23.53,23.53,23.43,,
2023-03-15,23.56,23.56,0,23.56,23.56,,undefined,23.42,23.42,0,23.42,23.42,,,
2023-03-16,23.79,23.79,0,23.79,23.79,,undefined,23.64,23.64,0,23.64,23.64,,,
2023-03-17,23.57,23.57,18,23.57,23.57,23.68,3,23.43,23.43,18,23.43,23.43,23.53,,
2023-03-20,23.92,23.92,0,23.92,23.92,,undefined,23.77,23.77,0,23.77,23.77,,,
2023-03-21,24.08,24.08,0,24.08,24.08,,undefined,23.93,23.93,0,23.93,23.93,,,
2023-03-22,23.82,23.82,1,23.82,23.82,24.1,1,23.67,23.67,1,23.67,23.67,23.95,,
2023-03-23,23.98,23.98,18,23.98,23.98,24.34,1,23.83,23.83,18,23.83,23.83,24.19,,
2023-03-24,24.15,24.15,0,24.15,24.15,,undefined,24,24,0,24,24,,,
2023-03-27,24.47,24.47,4,24.47,24.47,24.06,2,24.32,24.32,4,24.32,24.32,23.91,,
2023-03-28,24.45,24.45,23,24.45,24.45,24.46,5,24.3,24.3,23,24.3,24.3,24.31,,
2023-03-29,24.58,24.58,2,24.58,24.58,24.74,2,24.43,24.43,2,24.43,24.43,24.59,,
2023-03-30,24.64,24.64,0,24.64,24.64,,undefined,24.49,24.49,0,24.49,24.49,,,
2023-03-31,24.81,24.81,85,24.81,24.81,24.8,1,24.66,24.66,85,24.66,24.66,24.65,,
